ID_Cliente	Edad	Género	Nivel_Ingresos	Estado_Civil	Tarjeta_Fidelidad
192	47	M	Bajo	Casado	Sí
193	49	F	Medio	Viudo	Sí
194	38	F	Medio	Casado	Sí
195	75	F	Medio	Divorciado	Sí
196	18	F	Medio	Soltero	Sí
197	33	M	Bajo	Divorciado	Sí
198	28	M	Alto	Casado	Sí
199	56	M	Bajo	Casado	Sí
200	18	M	Bajo	Soltero	Sí
201	50	M	Medio	Divorciado	No
202	49	F	Medio	Casado	Sí
203	18	M	Bajo	Soltero	Sí
204	56	M	Medio	Casado	Sí
205	64	F	Medio	Divorciado	No
206	40	M	Bajo	Divorciado	Sí
207	18	F	Bajo	Soltero	Sí
208	63	F	Bajo	Casado	No
209	36	F	Medio	Casado	Sí
210	39	M	Medio	Casado	Sí
211	46	F	Bajo	Soltero	No
212	40	M	Bajo	Divorciado	Sí
213	27	F	Medio	Soltero	Sí
214	64	M	Alto	Viudo	Sí
215	34	F	Medio	Divorciado	Sí
216	43	F	Medio	Casado	Sí
217	26	M	Medio	Divorciado	Sí
218	39	M	Medio	Divorciado	No
219	28	F	Medio	Casado	Sí
220	30	F	Medio	Casado	Sí
221	56	F	Medio	Casado	No
222	37	M	Alto	Soltero	Sí
223	61	F	Medio	Divorciado	Sí
224	48	F	Medio	Divorciado	Sí
225	46	F	Medio	Viudo	Sí
226	65	F	Bajo	Casado	No
227	29	F	Bajo	Divorciado	No
228	50	F	Medio	Casado	Sí
229	59	F	Bajo	Casado	Sí
230	37	M	Medio	Soltero	Sí
231	28	F	Medio	Divorciado	No
232	48	F	Bajo	Viudo	No
233	59	F	Bajo	Casado	Sí
234	23	F	Bajo	Soltero	Sí
235	18	F	Medio	Casado	Sí
236	57	M	Bajo	Soltero	No
237	42	F	Medio	Divorciado	Sí
238	28	M	Alto	Soltero	Sí
239	57	M	Medio	Soltero	Sí
240	20	M	Medio	Soltero	No
241	40	F	Medio	Divorciado	Sí
242	55	F	Medio	Divorciado	No
243	48	F	Medio	Casado	No
244	34	F	Bajo	Casado	Sí
245	33	F	Medio	Casado	Sí
246	37	F	Bajo	Soltero	No
247	46	F	Bajo	Casado	Sí
248	59	F	Alto	Casado	Sí
249	72	F	Bajo	Divorciado	Sí
250	39	M	Medio	Soltero	No
251	36	M	Medio	Casado	No
252	20	M	Alto	Casado	Sí
253	68	M	Medio	Soltero	Sí
254	55	F	Medio	Divorciado	No
255	35	F	Medio	Casado	Sí
256	24	F	Bajo	Soltero	Sí
257	24	F	Alto	Soltero	Sí
258	28	F	Bajo	Casado	Sí
259	62	F	Alto	Casado	Sí
260	25	F	Medio	Soltero	Sí
261	20	M	Medio	Soltero	Sí
262	37	F	Alto	Divorciado	No
263	54	F	Bajo	Soltero	No
264	47	F	Medio	Divorciado	No
265	22	M	Medio	Soltero	Sí
266	58	M	Medio	Casado	Sí
267	49	F	Medio	Soltero	No
268	41	F	Bajo	Casado	No
269	39	F	Medio	Divorciado	Sí
270	42	F	Medio	Viudo	Sí
271	53	F	Bajo	Divorciado	Sí
272	44	M	Medio	Casado	No
273	47	F	Alto	Viudo	Sí
274	28	M	Medio	Soltero	No
275	50	M	Medio	Viudo	Sí
276	40	M	Alto	Viudo	Sí
277	49	M	Medio	Casado	No
278	61	M	Medio	Casado	Sí
279	40	F	Alto	Casado	No
280	51	F	Alto	Casado	Sí
281	57	M	Medio	Viudo	Sí
282	68	M	Bajo	Divorciado	Sí
283	37	M	Bajo	Casado	Sí
284	30	M	Bajo	Soltero	Sí
285	44	F	Bajo	Divorciado	No
286	46	M	Bajo	Casado	Sí
287	35	M	Bajo	Divorciado	Sí
288	52	M	Bajo	Casado	No
289	80	M	Bajo	Casado	No
290	51	F	Medio	Casado	No
291	57	M	Medio	Casado	No
292	54	F	Medio	Casado	No
293	34	F	Alto	Divorciado	Sí
294	28	F	Bajo	Soltero	Sí
295	41	F	Medio	Casado	Sí
296	44	F	Bajo	Casado	No
297	64	M	Medio	Divorciado	No
298	70	M	Medio	Casado	No
299	68	M	Medio	Divorciado	No
300	20	F	Bajo	Soltero	No
301	52	M	Bajo	Casado	No
302	31	F	Bajo	Casado	Sí
303	52	F	Bajo	Casado	No
304	47	M	Bajo	Casado	Sí
305	50	M	Medio	Casado	No
306	45	M	Medio	Divorciado	Sí
307	58	F	Medio	Divorciado	No
308	64	M	Bajo	Divorciado	Sí
309	43	F	Bajo	Divorciado	No
310	48	F	Medio	Divorciado	Sí
311	32	M	Bajo	Divorciado	Sí
312	48	M	Alto	Casado	Sí
313	53	M	Medio	Divorciado	Sí
314	29	M	Alto	Casado	Sí
315	33	M	Medio	Soltero	No
316	31	F	Bajo	Casado	No
317	33	M	Bajo	Casado	Sí
318	56	F	Bajo	Casado	No
319	52	M	Medio	Casado	Sí
320	53	F	Medio	Casado	Sí
321	59	F	Medio	Casado	Sí
322	48	F	Bajo	Divorciado	Sí
323	31	M	Bajo	Soltero	Sí
324	35	F	Bajo	Casado	No
325	68	F	Alto	Casado	Sí
326	18	F	Medio	Soltero	Sí
327	45	F	Bajo	Casado	No
328	24	F	Medio	Soltero	Sí
329	25	F	Medio	Casado	Sí
330	48	F	Medio	Soltero	No
331	58	M	Medio	Divorciado	Sí
332	28	M	Bajo	Soltero	No
333	18	M	Alto	Soltero	No
334	43	M	Bajo	Viudo	Sí
335	63	M	Medio	Viudo	Sí
336	38	M	Medio	Soltero	Sí
337	52	M	Medio	Casado	Sí
338	65	M	Medio	Casado	No
339	40	M	Medio	Soltero	Sí
340	50	F	Bajo	Casado	Sí
341	47	F	Medio	Divorciado	No
342	44	M	Bajo	Casado	No
343	43	F	Alto	Viudo	No
344	52	M	Medio	Casado	Sí
345	59	F	Medio	Casado	No
346	44	F	Bajo	Casado	Sí
347	43	M	Medio	Casado	Sí
348	52	F	Bajo	Divorciado	No
349	57	M	Medio	Soltero	Sí
350	49	M	Medio	Divorciado	No
351	54	F	Bajo	Casado	No
352	59	F	Medio	Divorciado	Sí
353	62	F	Bajo	Viudo	No
354	52	M	Alto	Soltero	Sí
355	34	M	Bajo	Soltero	No
356	37	F	Bajo	Divorciado	No
357	24	F	Medio	Soltero	Sí
358	38	M	Medio	Divorciado	No
359	43	M	Medio	Casado	No
360	46	F	Medio	Divorciado	No
361	64	F	Medio	Viudo	No
362	25	M	Alto	Soltero	Sí
363	69	M	Medio	Casado	No
364	28	F	Bajo	Soltero	No
365	30	M	Bajo	Casado	No
366	56	F	Bajo	Divorciado	No
367	52	M	Bajo	Casado	Sí
368	32	M	Medio	Casado	No
369	36	F	Medio	Soltero	Sí
370	47	F	Medio	Divorciado	Sí
371	48	M	Medio	Soltero	Sí
372	45	M	Bajo	Viudo	No
373	32	F	Bajo	Divorciado	Sí
374	58	M	Medio	Casado	Sí
375	61	F	Alto	Divorciado	Sí
376	61	F	Medio	Viudo	Sí
377	44	M	Medio	Casado	Sí
378	38	M	Medio	Soltero	No
379	21	M	Medio	Soltero	Sí
380	52	F	Medio	Casado	No
381	80	M	Bajo	Soltero	No
382	22	M	Medio	Soltero	Sí
383	27	F	Alto	Soltero	Sí
384	31	F	Bajo	Soltero	No
385	36	M	Medio	Soltero	Sí
386	37	F	Medio	Divorciado	No
387	50	M	Medio	Casado	No
388	40	F	Bajo	Casado	Sí
389	32	F	Medio	Casado	Sí
390	36	F	Bajo	Soltero	Sí
391	42	F	Alto	Viudo	Sí
392	50	F	Medio	Divorciado	Sí
393	19	F	Medio	Soltero	Sí
394	34	F	Bajo	Soltero	Sí
395	46	F	Medio	Divorciado	No
396	31	F	Medio	Divorciado	Sí
397	31	M	Medio	Soltero	Sí
398	62	F	Medio	Divorciado	Sí
399	46	F	Medio	Viudo	Sí
400	33	M	Bajo	Soltero	No
401	45	M	Medio	Casado	Sí
402	25	F	Bajo	Soltero	Sí
403	40	M	Alto	Casado	Sí
404	48	F	Medio	Casado	No
405	42	F	Alto	Casado	Sí
406	59	F	Bajo	Soltero	No
407	31	M	Medio	Divorciado	No
408	60	M	Medio	Soltero	No
409	65	M	Alto	Divorciado	Sí
410	46	F	Bajo	Divorciado	Sí
411	43	M	Medio	Divorciado	Sí
412	34	M	Medio	Soltero	Sí
413	54	F	Bajo	Casado	Sí
414	40	M	Medio	Casado	No
415	51	M	Bajo	Casado	Sí
416	22	F	Medio	Soltero	Sí
417	52	F	Bajo	Divorciado	No
418	25	M	Bajo	Casado	No
419	51	F	Medio	Casado	Sí
420	58	M	Medio	Casado	Sí
421	29	M	Alto	Casado	No
422	45	M	Medio	Soltero	Sí
423	54	F	Medio	Viudo	Sí
424	44	F	Bajo	Divorciado	Sí
425	57	F	Bajo	Casado	Sí
426	18	F	Bajo	Soltero	Sí
427	40	M	Alto	Casado	Sí
428	41	M	Bajo	Soltero	Sí
429	22	F	Bajo	Soltero	Sí
430	70	M	Bajo	Casado	Sí
431	24	F	Medio	Soltero	No
432	38	F	Bajo	Soltero	No
433	18	F	Bajo	Soltero	No
434	25	F	Medio	Casado	No
435	59	M	Bajo	Divorciado	Sí
436	47	F	Medio	Casado	No
437	29	M	Medio	Casado	Sí
438	55	F	Bajo	Divorciado	No
439	52	F	Bajo	Casado	No
440	30	M	Bajo	Casado	Sí
441	36	M	Bajo	Casado	No
442	18	M	Medio	Soltero	No
443	59	M	Bajo	Casado	No
444	37	F	Medio	Casado	No
445	58	M	Medio	Soltero	Sí
446	80	M	Medio	Casado	No
447	62	M	Medio	Soltero	No
448	18	M	Bajo	Soltero	No
449	46	F	Medio	Divorciado	No
450	18	M	Bajo	Soltero	No
451	50	M	Bajo	Soltero	Sí
452	46	F	Bajo	Casado	Sí
453	27	M	Medio	Casado	Sí
454	34	F	Bajo	Divorciado	No
455	31	F	Medio	Divorciado	Sí
456	24	F	Medio	Soltero	Sí
457	50	M	Bajo	Soltero	No
458	63	F	Bajo	Casado	No
459	45	M	Bajo	Casado	No
460	55	M	Medio	Soltero	Sí
461	60	M	Medio	Casado	No
462	50	M	Bajo	Soltero	Sí
463	18	M	Alto	Casado	Sí
464	47	M	Medio	Casado	Sí
465	49	F	Alto	Divorciado	Sí
466	49	F	Medio	Divorciado	Sí
467	19	M	Medio	Soltero	Sí
468	60	F	Bajo	Divorciado	No
469	47	F	Bajo	Casado	Sí
470	57	F	Bajo	Divorciado	Sí
471	75	M	Medio	Casado	No
472	25	F	Bajo	Casado	Sí
473	41	F	Medio	Divorciado	Sí
474	41	F	Bajo	Casado	No
475	35	F	Alto	Casado	Sí
476	77	M	Medio	Casado	Sí
477	23	F	Medio	Soltero	No
478	42	M	Medio	Divorciado	No
479	46	M	Bajo	Soltero	Sí
480	72	F	Bajo	Divorciado	Sí
481	50	F	Medio	Divorciado	Sí
482	41	F	Bajo	Divorciado	No
483	36	F	Medio	Casado	No
484	50	F	Bajo	Casado	No
485	28	M	Bajo	Soltero	No
486	33	F	Medio	Casado	No
487	63	F	Medio	Viudo	Sí
488	79	M	Alto	Divorciado	Sí
489	21	F	Medio	Soltero	Sí
490	45	M	Medio	Casado	No
491	56	F	Alto	Casado	Sí
492	25	M	Bajo	Divorciado	No
493	25	F	Medio	Divorciado	No
494	29	M	Medio	Soltero	Sí
495	23	M	Medio	Soltero	Sí
496	30	M	Medio	Soltero	Sí
497	33	M	Bajo	Divorciado	No
498	20	M	Medio	Soltero	Sí
499	33	F	Medio	Casado	Sí
500	66	M	Medio	Casado	Sí
501	56	M	Medio	Viudo	No
502	47	F	Alto	Viudo	Sí
503	46	F	Medio	Casado	Sí
504	40	F	Bajo	Casado	No
505	42	M	Medio	Casado	No
506	28	F	Bajo	Soltero	No
507	40	F	Bajo	Viudo	No
508	55	F	Medio	Soltero	No
509	58	F	Medio	Casado	No
510	42	M	Bajo	Viudo	Sí
511	39	F	Medio	Divorciado	Sí
512	39	F	Medio	Casado	Sí
513	25	F	Medio	Divorciado	Sí
514	30	F	Medio	Soltero	No
515	32	M	Bajo	Casado	No
516	23	F	Bajo	Soltero	Sí
517	49	F	Medio	Viudo	Sí
518	18	F	Bajo	Soltero	Sí
519	26	F	Medio	Casado	No
520	56	F	Medio	Casado	No
521	35	F	Bajo	Casado	Sí
522	23	F	Bajo	Soltero	No
523	22	M	Medio	Casado	Sí
524	50	M	Medio	Casado	No
525	45	M	Medio	Casado	Sí
526	28	F	Medio	Casado	Sí
527	58	M	Medio	Casado	Sí
528	36	F	Bajo	Divorciado	No
529	37	F	Medio	Casado	Sí
530	27	M	Medio	Divorciado	Sí
531	62	F	Medio	Casado	Sí
532	43	F	Bajo	Divorciado	Sí
533	39	M	Medio	Casado	Sí
534	75	F	Medio	Casado	No
535	54	M	Medio	Viudo	Sí
536	34	M	Bajo	Divorciado	No
537	40	M	Bajo	Casado	Sí
538	44	M	Medio	Soltero	No
539	51	M	Medio	Casado	No
540	24	M	Bajo	Soltero	No
541	54	M	Medio	Casado	Sí
542	39	M	Bajo	Soltero	No
543	18	F	Bajo	Soltero	Sí
544	53	F	Bajo	Casado	No
545	40	M	Medio	Casado	Sí
546	23	F	Bajo	Soltero	Sí
547	69	F	Bajo	Casado	Sí
548	24	M	Alto	Soltero	Sí
549	35	F	Bajo	Soltero	No
550	47	F	Bajo	Casado	No
551	52	F	Alto	Viudo	Sí
552	33	F	Medio	Casado	Sí
553	37	M	Bajo	Soltero	No
554	27	M	Alto	Casado	Sí
555	40	F	Medio	Divorciado	No
556	44	M	Alto	Divorciado	Sí
557	18	F	Medio	Soltero	No
558	50	F	Medio	Casado	No
559	22	M	Bajo	Soltero	Sí
560	18	F	Alto	Soltero	Sí
561	47	F	Alto	Divorciado	Sí
562	47	F	Alto	Divorciado	Sí
563	67	M	Bajo	Casado	Sí
564	18	M	Medio	Soltero	Sí
565	43	M	Alto	Divorciado	Sí
566	52	M	Bajo	Casado	No
567	46	M	Bajo	Divorciado	Sí
568	38	M	Bajo	Soltero	Sí
569	32	M	Bajo	Divorciado	Sí
570	26	M	Medio	Divorciado	Sí
571	33	M	Alto	Divorciado	No
572	41	M	Medio	Casado	No
573	42	M	Bajo	Casado	No
574	48	F	Medio	Casado	No
575	43	F	Bajo	Casado	No
576	23	F	Bajo	Soltero	Sí
577	49	M	Medio	Divorciado	No
578	44	F	Alto	Casado	Sí
579	39	M	Medio	Soltero	Sí
580	51	M	Medio	Casado	Sí
581	63	M	Medio	Divorciado	No
582	37	F	Medio	Soltero	Sí
583	50	F	Medio	Viudo	No
584	39	F	Medio	Divorciado	Sí
585	47	F	Alto	Divorciado	Sí
586	44	M	Alto	Casado	No
587	42	M	Medio	Soltero	No
588	26	F	Alto	Divorciado	Sí
589	71	M	Bajo	Casado	Sí
590	36	M	Bajo	Casado	No
591	26	F	Medio	Casado	Sí
592	27	M	Alto	Soltero	Sí
593	61	F	Bajo	Casado	No
594	34	M	Bajo	Casado	Sí
595	56	F	Medio	Casado	Sí
596	61	F	Alto	Casado	Sí
597	44	M	Medio	Divorciado	Sí
598	46	F	Alto	Casado	Sí
599	47	F	Bajo	Casado	Sí
600	29	F	Medio	Divorciado	Sí
601	69	M	Medio	Casado	Sí
602	44	M	Medio	Casado	No
603	26	M	Medio	Casado	No
604	46	M	Medio	Casado	No
605	44	M	Bajo	Viudo	No
606	46	M	Medio	Divorciado	No
607	18	F	Medio	Casado	Sí
608	68	F	Medio	Viudo	Sí
609	26	M	Bajo	Divorciado	No
610	55	F	Medio	Soltero	Sí
611	45	F	Medio	Divorciado	Sí
612	24	M	Alto	Soltero	Sí
613	32	M	Alto	Casado	Sí
614	26	F	Medio	Soltero	Sí
615	38	F	Bajo	Casado	Sí
616	37	M	Medio	Divorciado	No
617	80	M	Bajo	Soltero	No
618	18	F	Bajo	Soltero	No
619	41	F	Medio	Soltero	Sí
620	38	F	Medio	Soltero	Sí
621	50	M	Bajo	Casado	No
622	61	M	Medio	Casado	Sí
623	63	F	Medio	Divorciado	Sí
624	52	M	Medio	Soltero	Sí
625	54	F	Bajo	Divorciado	No
626	40	M	Medio	Casado	No
627	31	M	Medio	Divorciado	No
628	44	F	Bajo	Casado	No
629	56	M	Alto	Divorciado	Sí
630	39	F	Alto	Divorciado	No
631	65	F	Medio	Casado	Sí
632	48	F	Medio	Divorciado	No
633	41	M	Medio	Casado	Sí
634	47	F	Bajo	Soltero	Sí
635	50	M	Bajo	Casado	No
636	36	M	Medio	Casado	Sí
637	63	M	Bajo	Viudo	Sí
638	38	M	Alto	Soltero	Sí
639	28	F	Medio	Divorciado	No
640	59	F	Alto	Divorciado	Sí
641	40	F	Bajo	Divorciado	No
642	23	M	Medio	Soltero	Sí
643	41	F	Alto	Divorciado	Sí
644	21	F	Medio	Soltero	No
645	37	F	Medio	Soltero	Sí
646	32	M	Medio	Soltero	No
647	18	F	Bajo	Soltero	No
648	39	M	Bajo	Soltero	No
649	45	M	Medio	Divorciado	Sí
650	32	M	Bajo	Divorciado	No
651	33	M	Medio	Soltero	Sí
652	25	M	Medio	Soltero	No
653	37	M	Medio	Soltero	Sí
654	48	M	Medio	Casado	No
655	42	F	Bajo	Casado	No
656	24	M	Bajo	Soltero	Sí
657	80	F	Medio	Viudo	Sí
658	39	M	Medio	Casado	Sí
659	19	M	Medio	Soltero	Sí
660	34	M	Bajo	Casado	No
661	51	M	Alto	Casado	Sí
662	21	M	Bajo	Soltero	No
663	45	F	Medio	Viudo	No
664	55	F	Bajo	Casado	No
665	41	F	Medio	Casado	Sí
666	46	M	Bajo	Soltero	Sí
667	18	F	Bajo	Casado	No
668	49	M	Medio	Casado	No
669	64	M	Medio	Casado	Sí
670	65	F	Medio	Casado	No
671	60	F	Medio	Divorciado	Sí
672	34	F	Bajo	Divorciado	No
673	23	F	Bajo	Soltero	Sí
674	41	F	Medio	Viudo	No
675	59	F	Alto	Casado	Sí
676	44	M	Medio	Divorciado	No
677	61	M	Medio	Divorciado	No
678	47	F	Alto	Casado	Sí
679	29	F	Medio	Divorciado	No
680	50	M	Medio	Divorciado	Sí
681	44	M	Alto	Soltero	Sí
682	26	M	Alto	Soltero	Sí
683	37	M	Medio	Casado	No
684	47	F	Medio	Divorciado	Sí
685	18	M	Medio	Soltero	No
686	52	F	Medio	Divorciado	Sí
687	34	M	Medio	Divorciado	Sí
688	57	M	Medio	Divorciado	Sí
689	30	M	Medio	Soltero	No
690	44	F	Medio	Soltero	Sí
691	63	F	Alto	Casado	Sí
692	29	F	Medio	Soltero	No
693	36	M	Bajo	Casado	Sí
694	69	F	Alto	Casado	Sí
695	33	F	Medio	Soltero	No
696	29	M	Medio	Soltero	No
697	50	M	Bajo	Casado	Sí
698	33	M	Medio	Divorciado	Sí
699	26	F	Bajo	Divorciado	Sí
700	24	M	Alto	Soltero	Sí
701	27	F	Medio	Soltero	Sí
702	52	M	Alto	Casado	Sí
703	61	M	Bajo	Casado	No
704	18	M	Medio	Soltero	Sí
705	21	M	Medio	Soltero	Sí
706	42	F	Bajo	Casado	No
707	21	F	Medio	Soltero	No
708	37	M	Bajo	Divorciado	Sí
709	24	F	Medio	Soltero	Sí
710	35	M	Bajo	Soltero	No
711	80	F	Bajo	Soltero	No
712	32	M	Alto	Casado	Sí
713	25	M	Bajo	Soltero	No
714	45	F	Bajo	Divorciado	No
715	25	M	Bajo	Soltero	Sí
716	31	M	Alto	Casado	Sí
717	40	F	Bajo	Casado	Sí
718	45	M	Medio	Divorciado	Sí
719	30	F	Medio	Soltero	Sí
720	50	M	Medio	Casado	Sí
721	52	M	Bajo	Divorciado	No
722	64	F	Bajo	Viudo	No
723	37	M	Medio	Divorciado	Sí
724	57	F	Bajo	Casado	Sí
725	18	F	Medio	Soltero	No
726	57	F	Bajo	Casado	Sí
727	29	F	Alto	Casado	Sí
728	43	M	Bajo	Casado	Sí
729	56	M	Bajo	Divorciado	No
730	45	F	Alto	Casado	Sí
731	61	M	Alto	Casado	Sí
732	50	F	Medio	Divorciado	Sí
733	35	F	Bajo	Soltero	No
734	23	F	Bajo	Soltero	Sí
735	27	M	Alto	Casado	No
736	54	M	Bajo	Casado	No
737	55	F	Bajo	Divorciado	No
738	51	F	Medio	Divorciado	Sí
739	35	F	Medio	Divorciado	Sí
740	29	M	Bajo	Divorciado	No
741	54	F	Medio	Casado	No
742	36	M	Alto	Divorciado	Sí
743	31	F	Bajo	Casado	No
744	42	F	Medio	Soltero	No
745	63	F	Medio	Casado	No
746	18	M	Medio	Soltero	No
747	44	M	Medio	Viudo	Sí
748	43	M	Medio	Viudo	No
749	58	M	Medio	Viudo	Sí
750	67	M	Bajo	Casado	No
751	33	F	Bajo	Casado	Sí
752	31	M	Alto	Soltero	Sí
753	39	F	Bajo	Casado	No
754	44	F	Medio	Divorciado	Sí
755	36	M	Medio	Casado	Sí
