customer_id,age,annual_income,spending_score,purchase_frequency,avg_order_value,days_since_last_purchase,preferred_category,payment_method,geographic_region
C0027,30,68177,100,25,113.84,8,Beauty,Credit_Card,Occidente
C0028,41,53162,62,16,72.19,71,Electronics,Cash,Centro
C0029,40,56541,43,10,111.38,82,Home_Garden,Debit_Card,Occidente
C0030,38,54723,100,24,109.96,52,Clothing,PayPal,Oriente
C0031,19,50517,100,25,120.26,1,Sports,Bank_Transfer,Occidente
C0032,26,41668,73,15,52.24,59,Beauty,Debit_Card,Oriente
C0033,38,58861,58,15,137.81,77,Home_Garden,Cash,Occidente
C0034,32,65609,86,18,134.18,45,Sports,Bank_Transfer,Centro
C0035,42,72224,63,17,139.06,37,Home_Garden,PayPal,Sur
C0036,50,80853,83,22,129.51,20,Sports,PayPal,Occidente
C0037,36,45706,63,14,90.81,69,Electronics,Debit_Card,Sur
C0038,34,70334,51,15,184.25,40,Books,Debit_Card,Occidente
C0039,43,40619,33,12,118.09,60,Electronics,Debit_Card,Occidente
C0040,19,32104,100,19,64.68,45,Luxury,Bank_Transfer,Norte
C0041,64,73515,60,18,155.36,36,Sports,Bank_Transfer,Occidente
C0042,29,44532,81,25,105.08,30,Sports,PayPal,Norte
C0043,46,54980,36,9,111.96,84,Luxury,Credit_Card,Occidente
C0044,60,71033,43,6,105.87,78,Food,Cash,Norte
C0045,34,45474,86,15,106.68,29,Clothing,Cash,Sur
C0046,18,25000,92,25,50.41,28,Books,Cash,Centro
C0047,36,61620,98,25,98.39,11,Sports,Debit_Card,Sur
C0048,47,28842,58,11,15.67,79,Beauty,Debit_Card,Sur
C0049,44,62083,72,16,144.66,73,Books,PayPal,Sur
C0050,35,33171,79,21,56.66,40,Food,Credit_Card,Sur
C0051,47,99042,48,15,211.41,12,Books,Credit_Card,Norte
C0052,22,47381,100,24,55.66,19,Home_Garden,Debit_Card,Sur
C0053,58,62345,55,14,132.72,71,Electronics,PayPal,Oriente
C0054,24,36473,95,17,70.18,60,Clothing,Debit_Card,Oriente
C0055,18,25000,100,25,55.94,20,Electronics,Credit_Card,Centro
C0056,25,28302,87,21,80.84,68,Food,Bank_Transfer,Oriente
C0057,18,42824,100,25,71.04,28,Clothing,Cash,Sur
C0058,49,56598,65,17,146.62,48,Food,Bank_Transfer,Norte
C0059,22,25000,100,25,75.19,11,Home_Garden,Credit_Card,Occidente
C0060,29,41068,91,24,114.52,34,Electronics,Debit_Card,Centro
C0061,29,64418,100,25,122.07,1,Beauty,Cash,Occidente
C0062,32,74555,89,25,116.05,6,Home_Garden,PayPal,Occidente
C0063,42,71603,64,13,194.75,82,Electronics,PayPal,Sur
C0064,41,59084,57,20,48.93,58,Home_Garden,Credit_Card,Occidente
C0065,41,36263,57,17,46.8,45,Electronics,Bank_Transfer,Sur
C0066,22,56549,86,21,96.15,47,Luxury,Bank_Transfer,Oriente
C0067,30,64476,61,16,129.72,68,Sports,Bank_Transfer,Norte
C0068,38,71966,82,18,123.63,36,Books,Debit_Card,Occidente
C0069,38,64774,97,21,131.48,37,Clothing,PayPal,Centro
C0070,21,27706,100,25,16.2,20,Beauty,Credit_Card,Norte
C0071,42,78005,69,14,114.99,58,Beauty,PayPal,Oriente
C0072,34,73140,81,13,198.53,72,Luxury,Debit_Card,Sur
C0073,50,29292,63,15,38.65,69,Luxury,Bank_Transfer,Norte
C0074,49,55243,56,18,148.8,7,Beauty,Bank_Transfer,Oriente
C0075,33,59877,71,18,109.05,59,Food,Bank_Transfer,Occidente
C0076,36,61688,77,14,164.07,56,Luxury,PayPal,Centro
C0077,32,53910,59,18,100.68,42,Clothing,Debit_Card,Centro
C0078,39,47872,66,18,133.13,39,Beauty,Bank_Transfer,Norte
C0079,37,43869,81,21,18.54,3,Clothing,PayPal,Sur
C0080,18,28976,100,25,102.27,36,Electronics,Credit_Card,Centro
C0081,49,65423,28,8,93.47,111,Sports,Debit_Card,Centro
C0082,26,25000,94,18,67.36,48,Sports,Debit_Card,Centro
C0083,55,67655,42,6,139.64,85,Food,Cash,Centro
C0084,24,45927,100,25,136.77,51,Home_Garden,Bank_Transfer,Norte
C0085,22,67312,100,24,129.38,17,Home_Garden,Debit_Card,Norte
C0086,22,34907,73,17,91.39,43,Books,Bank_Transfer,Sur
C0087,18,73289,99,25,134.6,14,Beauty,Cash,Occidente
C0088,34,71991,82,22,124.62,40,Clothing,Bank_Transfer,Oriente
C0089,24,41924,85,22,96.81,35,Home_Garden,Bank_Transfer,Centro
C0090,49,64551,45,13,120.38,68,Beauty,Bank_Transfer,Oriente
C0091,54,54604,34,11,91.4,64,Beauty,Credit_Card,Sur
C0092,50,66739,58,16,134.12,49,Luxury,PayPal,Occidente
C0093,31,25000,65,17,63.35,53,Food,Credit_Card,Norte
C0094,54,89456,36,11,203.22,64,Luxury,PayPal,Centro
C0095,54,49321,46,8,133.69,83,Sports,Cash,Sur
C0096,51,88151,83,23,151.77,1,Books,Credit_Card,Occidente
C0097,30,59557,66,17,117.43,39,Clothing,Debit_Card,Occidente
C0098,18,25000,100,25,45.15,14,Home_Garden,PayPal,Norte
C0099,22,31085,100,18,37.13,66,Beauty,Cash,Norte
C0100,21,51499,72,22,61.61,34,Food,Bank_Transfer,Norte
C0101,18,31716,95,25,62.76,39,Luxury,Credit_Card,Centro
C0102,26,38499,90,23,37.53,55,Home_Garden,Bank_Transfer,Norte
C0103,39,55012,62,12,79.5,99,Beauty,Cash,Oriente
C0104,63,78257,27,5,68.14,124,Beauty,Cash,Oriente
C0105,43,53979,60,19,83.33,50,Books,Credit_Card,Oriente
C0106,36,53485,59,17,119.79,35,Beauty,Debit_Card,Sur
C0107,31,50086,78,23,63.1,22,Home_Garden,Debit_Card,Oriente
C0108,40,47540,70,21,52.06,63,Luxury,Cash,Occidente
C0109,33,26335,55,24,51.24,11,Electronics,Debit_Card,Centro
C0110,33,48918,100,15,118.87,50,Home_Garden,Cash,Oriente
C0111,44,74954,82,18,176.28,27,Home_Garden,Cash,Sur
C0112,33,40820,80,21,141.16,21,Clothing,Bank_Transfer,Norte
C0113,26,25000,68,18,53.13,67,Home_Garden,Credit_Card,Norte
C0114,43,57915,58,15,132.35,55,Sports,Bank_Transfer,Centro
C0115,39,58689,71,24,125.53,35,Books,Bank_Transfer,Sur
C0116,41,56499,43,11,107.65,74,Clothing,Debit_Card,Sur
C0117,18,32377,60,17,143.92,67,Luxury,Credit_Card,Occidente
C0118,31,47881,81,22,52.66,40,Books,Cash,Centro
C0119,29,44631,82,19,96.21,44,Books,Debit_Card,Norte
C0120,58,66812,58,11,118.57,80,Food,Bank_Transfer,Centro
C0121,31,74092,65,15,117.72,39,Clothing,Cash,Occidente
C0122,25,33316,82,23,42.56,48,Food,Credit_Card,Sur
C0123,40,45945,72,17,122.44,53,Food,PayPal,Sur
C0124,34,61655,81,23,100.9,26,Clothing,Debit_Card,Occidente
C0125,38,48027,70,23,81.95,22,Beauty,Cash,Occidente
C0126,56,69470,44,14,104.65,50,Luxury,Debit_Card,Sur
C0127,34,47708,79,22,145.02,16,Food,PayPal,Oriente
C0128,49,89593,86,20,167.81,28,Electronics,Credit_Card,Sur
C0129,36,42799,78,17,77.78,64,Home_Garden,Debit_Card,Sur
C0130,28,25000,100,25,61.46,9,Books,Cash,Oriente
C0131,22,47211,100,24,87.81,39,Books,Credit_Card,Norte
C0132,18,37212,100,25,75.8,28,Luxury,PayPal,Oriente
C0133,37,48383,59,17,93.71,50,Books,Bank_Transfer,Oriente
C0134,46,85432,58,15,143.15,78,Books,Bank_Transfer,Centro
C0135,18,31242,100,24,50.02,34,Luxury,Bank_Transfer,Sur
C0136,36,57440,50,14,92,61,Sports,Bank_Transfer,Occidente
C0137,33,46843,81,23,76.99,1,Books,Debit_Card,Occidente
C0138,18,26226,80,24,67.43,15,Sports,Cash,Sur
C0139,58,81039,52,10,169.66,70,Home_Garden,Cash,Occidente
C0140,26,25000,54,16,89.08,52,Electronics,Debit_Card,Occidente
C0141,39,40173,78,18,87.98,47,Beauty,Cash,Sur
C0142,24,25000,94,25,78.51,11,Home_Garden,Credit_Card,Occidente
C0143,35,32422,78,19,129.62,58,Beauty,PayPal,Occidente
C0144,25,33521,92,23,83.04,14,Food,Cash,Norte
C0145,39,57385,52,12,106.98,79,Sports,PayPal,Sur
C0146,32,49459,75,16,116.58,51,Home_Garden,PayPal,Occidente
C0147,26,44190,94,20,86.74,57,Electronics,Debit_Card,Oriente
C0148,46,45755,55,16,157.15,92,Sports,Credit_Card,Centro
C0149,23,51533,96,16,98.79,54,Home_Garden,Bank_Transfer,Occidente
C0150,36,30173,81,22,95.55,43,Electronics,Bank_Transfer,Norte
C0151,52,62778,61,15,60.32,66,Food,Credit_Card,Oriente
C0152,39,40335,46,8,98.87,84,Food,Credit_Card,Norte
C0153,25,25000,100,20,48.38,42,Luxury,Credit_Card,Centro
C0154,18,25000,100,23,37.15,13,Beauty,Credit_Card,Norte
C0155,25,43648,100,25,67.52,23,Beauty,Credit_Card,Norte
C0156,25,40915,85,20,125.28,31,Food,Cash,Occidente
C0157,54,70420,67,22,124.19,37,Clothing,Credit_Card,Sur
C0158,42,45312,88,21,129.56,24,Electronics,Credit_Card,Centro
C0159,42,55001,76,17,94.06,43,Beauty,Bank_Transfer,Sur
C0160,26,53304,100,22,106.63,32,Food,Cash,Norte
C0161,24,52080,93,23,96.43,39,Luxury,Credit_Card,Centro
C0162,29,43315,94,25,33.6,32,Luxury,Cash,Occidente
C0163,20,30271,100,23,41.49,29,Luxury,Bank_Transfer,Centro
C0164,50,78249,61,10,135.19,84,Electronics,Credit_Card,Oriente
C0165,34,48927,73,19,87.41,52,Beauty,PayPal,Centro
C0166,39,47111,100,22,111.78,29,Food,PayPal,Centro
C0167,47,70420,66,14,170.32,77,Books,PayPal,Occidente
C0168,33,25000,86,14,54.82,85,Home_Garden,Debit_Card,Norte
C0169,29,59217,83,19,103.03,48,Home_Garden,Bank_Transfer,Oriente
C0170,46,74788,85,18,176.95,34,Luxury,Debit_Card,Occidente
C0171,33,36586,46,22,54.87,24,Clothing,Credit_Card,Centro
C0172,35,62945,60,13,113.57,95,Food,Credit_Card,Oriente
C0173,36,39405,87,19,4.08,30,Books,Debit_Card,Occidente
C0174,26,48086,100,21,100.47,71,Sports,Debit_Card,Sur
C0175,35,45594,55,20,102.73,50,Sports,Bank_Transfer,Norte
C0176,37,58979,84,20,140.19,26,Sports,Debit_Card,Occidente
C0177,48,82966,64,15,130.58,69,Luxury,Credit_Card,Sur
C0178,49,84852,44,5,115.62,126,Luxury,Debit_Card,Oriente
C0179,31,50645,72,17,113.03,33,Beauty,PayPal,Oriente
C0180,29,63170,95,25,167.97,14,Sports,Debit_Card,Norte
C0181,33,26304,80,20,63.75,33,Beauty,Cash,Occidente
C0182,65,91955,17,5,177.47,117,Sports,Credit_Card,Norte
C0183,32,49196,64,19,117.88,43,Luxury,Debit_Card,Sur
C0184,18,25000,92,25,100.69,15,Beauty,Credit_Card,Norte
C0185,46,72632,83,22,171.89,41,Books,PayPal,Sur
C0186,40,39149,59,18,74,41,Luxury,PayPal,Oriente
C0187,25,34597,100,23,89.63,27,Home_Garden,PayPal,Occidente
C0188,18,25000,100,25,63.81,11,Sports,Bank_Transfer,Sur
C0189,33,58162,84,22,102.85,28,Food,Cash,Centro
C0190,35,25000,100,25,29.86,23,Luxury,Cash,Occidente
C0191,43,60333,71,17,144.74,48,Electronics,PayPal,Occidente
C0192,18,25000,100,22,107.64,49,Books,Cash,Occidente
C0193,36,41939,70,21,59.81,30,Food,Credit_Card,Oriente
C0194,44,53346,82,25,129.37,32,Clothing,Bank_Transfer,Oriente
C0195,32,33104,100,23,99.02,39,Luxury,Cash,Oriente
C0196,65,97197,51,9,174.17,75,Beauty,Credit_Card,Sur
C0197,35,50477,81,19,126.37,57,Clothing,Credit_Card,Centro
C0198,39,48161,44,9,54.35,74,Home_Garden,Bank_Transfer,Oriente
C0199,30,63907,70,16,99.88,52,Luxury,Debit_Card,Oriente
C0200,28,52871,75,18,95.29,63,Electronics,Debit_Card,Sur
C0201,32,68071,86,17,128.53,43,Luxury,PayPal,Norte
C0202,34,51207,89,23,140.2,56,Home_Garden,Debit_Card,Oriente
C0203,21,25522,95,25,41.84,4,Food,Bank_Transfer,Norte
C0204,21,25000,100,24,26.38,10,Clothing,Credit_Card,Norte
C0205,33,54497,65,17,75.68,26,Home_Garden,Cash,Occidente
C0206,43,53308,62,16,81.73,28,Books,Credit_Card,Oriente
C0207,41,75279,75,16,157.81,42,Electronics,Bank_Transfer,Centro
C0208,37,50818,94,24,107.43,18,Sports,Bank_Transfer,Norte
C0209,31,57523,68,17,99.64,31,Home_Garden,Debit_Card,Sur
C0210,45,72347,41,10,158,86,Food,Bank_Transfer,Sur
C0211,24,46011,78,19,117.69,32,Electronics,PayPal,Oriente
C0212,33,51001,66,15,86.83,67,Clothing,PayPal,Sur
C0213,53,56792,70,17,199.95,48,Home_Garden,Debit_Card,Norte
C0214,25,29951,83,18,77.89,40,Books,Debit_Card,Occidente
C0215,18,31181,88,19,79.93,39,Food,Debit_Card,Oriente
C0216,36,54684,92,15,87.24,67,Luxury,Cash,Oriente
C0217,30,56250,82,25,115.46,1,Home_Garden,Credit_Card,Sur
C0218,33,30425,100,24,68.29,33,Electronics,Debit_Card,Sur
C0219,31,65138,84,25,148.35,25,Luxury,Cash,Occidente
C0220,50,81962,35,10,151.01,66,Beauty,Credit_Card,Sur
C0221,18,25000,100,24,61.68,32,Food,Debit_Card,Oriente
C0222,28,27924,87,25,10.57,26,Clothing,Debit_Card,Occidente
C0223,38,51559,89,25,162.68,22,Sports,Bank_Transfer,Occidente
C0224,30,45746,100,25,46.26,17,Books,Credit_Card,Centro
C0225,38,40843,54,16,40.92,68,Beauty,Credit_Card,Norte
C0226,30,38694,69,16,89.66,69,Electronics,Cash,Sur
C0227,40,66923,76,16,149.36,62,Electronics,Cash,Norte
C0228,44,70976,88,24,138.22,32,Beauty,Credit_Card,Norte
C0229,37,73324,67,15,162.02,80,Sports,Bank_Transfer,Oriente
C0230,28,28242,72,17,36.55,52,Luxury,Credit_Card,Centro
C0231,18,25000,100,21,54.88,12,Sports,Debit_Card,Sur
C0232,32,25000,85,23,39.74,20,Clothing,Cash,Oriente
C0233,33,51497,68,17,101.99,59,Food,Cash,Occidente
C0234,60,97570,43,8,187.79,94,Electronics,PayPal,Occidente
C0235,28,40094,100,25,114.15,4,Luxury,Bank_Transfer,Norte
C0236,22,56353,100,25,72.43,18,Food,PayPal,Oriente
C0237,32,37870,90,25,91.55,48,Clothing,Bank_Transfer,Centro
C0238,32,25000,79,16,117.79,49,Electronics,PayPal,Norte
C0239,27,46544,81,25,101.51,15,Beauty,PayPal,Centro
C0240,33,43926,27,2,74.97,104,Food,Bank_Transfer,Oriente
C0241,30,63462,92,20,131.57,55,Home_Garden,Bank_Transfer,Occidente
C0242,35,63678,62,10,91.29,99,Beauty,Bank_Transfer,Norte
C0243,24,41350,88,21,-58.42,47,Books,Bank_Transfer,Oriente
C0244,18,25000,65,18,63.2,49,Electronics,Bank_Transfer,Norte
C0245,43,49047,66,16,120.61,56,Electronics,Bank_Transfer,Centro
C0246,53,76474,41,9,192.39,81,Sports,Credit_Card,Sur
C0247,34,61488,54,14,135.87,54,Food,Credit_Card,Norte
C0248,23,61591,91,22,114.57,51,Luxury,Bank_Transfer,Occidente
C0249,19,29126,62,17,14.92,81,Clothing,Debit_Card,Centro
C0250,58,62376,16,5,91.61,111,Clothing,Debit_Card,Centro
C0251,21,35435,100,21,87.48,23,Electronics,Debit_Card,Norte
C0252,20,27254,100,20,46.02,41,Books,Cash,Centro
C0253,31,73155,80,15,130.75,59,Beauty,PayPal,Occidente
C0254,18,35113,71,18,23.87,69,Home_Garden,Cash,Centro
C0255,51,59936,59,19,93.38,50,Luxury,Debit_Card,Sur
C0256,65,77391,38,12,120.54,87,Books,Debit_Card,Oriente
C0257,47,54577,47,11,119.92,91,Beauty,Credit_Card,Occidente
C0258,49,64665,42,13,117.85,78,Home_Garden,Bank_Transfer,Centro
C0259,31,38356,100,25,104.6,1,Beauty,Cash,Occidente
C0260,41,61434,35,10,100.46,53,Sports,Cash,Oriente
C0261,35,46379,46,8,67.16,91,Beauty,Credit_Card,Centro
C0262,48,57540,51,15,90.05,48,Beauty,Debit_Card,Oriente
C0263,49,52531,50,7,105.73,120,Books,Cash,Occidente
C0264,30,58717,73,21,136.88,42,Beauty,Cash,Occidente
C0265,35,27119,76,12,45.55,55,Home_Garden,Bank_Transfer,Occidente
C0266,22,25000,92,25,93.62,10,Luxury,Cash,Sur
C0267,27,56712,85,20,112.45,27,Books,PayPal,Centro
C0268,28,25000,96,21,59.28,43,Books,Bank_Transfer,Centro
C0269,31,32610,100,25,57.52,14,Beauty,PayPal,Occidente
C0270,44,81542,67,19,186.83,39,Luxury,Credit_Card,Centro
C0271,49,68279,62,19,195.37,54,Beauty,Cash,Sur
C0272,19,25000,75,25,34.59,1,Food,Credit_Card,Sur
C0273,18,32509,100,23,74.02,25,Books,Cash,Oriente
C0274,38,46661,42,8,57.13,89,Luxury,Debit_Card,Norte
C0275,41,71542,69,19,116.78,45,Luxury,PayPal,Occidente
C0276,33,43446,83,23,99.02,39,Electronics,Bank_Transfer,Oriente
C0277,39,49140,80,22,94.37,29,Sports,Debit_Card,Occidente
C0278,29,35956,80,16,50.06,20,Electronics,Bank_Transfer,Oriente
C0279,43,56692,71,13,104.61,65,Home_Garden,Debit_Card,Norte
C0280,39,95812,40,10,220.23,91,Clothing,Cash,Norte
C0281,25,62428,60,11,152.35,84,Sports,Debit_Card,Centro
C0282,45,43475,81,17,118.31,59,Books,Credit_Card,Oriente
C0283,35,56460,64,18,146.84,46,Food,Bank_Transfer,Oriente
C0284,27,30240,91,21,53.18,29,Clothing,Cash,Oriente
C0285,26,75332,85,24,154.88,22,Food,Credit_Card,Sur
C0286,18,56808,100,20,140.84,28,Home_Garden,Bank_Transfer,Oriente
C0287,35,53501,90,23,57.88,27,Food,Bank_Transfer,Oriente
C0288,48,58145,49,12,108.18,84,Sports,Cash,Sur
C0289,53,79653,60,12,140.1,82,Electronics,Debit_Card,Occidente
C0290,18,25000,87,23,40.99,34,Food,Credit_Card,Norte
C0291,24,41115,93,18,71.04,56,Books,Cash,Occidente
C0292,35,38612,58,13,26.64,66,Beauty,Cash,Occidente
C0293,43,41245,52,15,111.53,65,Electronics,Credit_Card,Sur
C0294,28,42579,100,20,85.16,17,Electronics,PayPal,Occidente
C0295,50,73145,34,13,146.73,68,Electronics,PayPal,Centro
C0296,38,61086,63,18,142.72,66,Clothing,Credit_Card,Centro
C0297,31,39476,71,13,100.93,56,Books,PayPal,Centro
C0298,32,75311,78,13,85.89,79,Food,Debit_Card,Centro
C0299,31,62226,93,20,122.3,23,Electronics,PayPal,Oriente
C0300,48,60774,64,17,218.97,59,Sports,Debit_Card,Sur
C0301,32,62635,84,25,129.18,11,Luxury,Bank_Transfer,Oriente
C0302,30,39742,66,17,87.36,49,Sports,Debit_Card,Oriente
C0303,39,46031,60,16,102.62,66,Food,Debit_Card,Occidente
C0304,27,45164,90,19,112.22,66,Clothing,Bank_Transfer,Sur
C0305,27,38697,94,24,58.23,17,Home_Garden,Debit_Card,Centro
C0306,42,50752,63,17,135.47,53,Luxury,Debit_Card,Norte
C0307,37,54965,63,12,98.85,43,Clothing,Credit_Card,Norte
C0308,37,67812,60,13,111.39,62,Luxury,Debit_Card,Oriente
C0309,24,43543,89,24,51.25,41,Sports,Debit_Card,Centro
C0310,40,64721,98,23,178.19,40,Beauty,Bank_Transfer,Sur
C0311,42,83789,78,20,105.85,6,Electronics,Cash,Oriente
C0312,39,70195,71,18,81.6,53,Food,Credit_Card,Oriente
C0313,41,59686,77,15,72.97,66,Sports,Debit_Card,Occidente
C0314,28,30223,94,23,32.77,13,Electronics,Cash,Sur
C0315,27,31338,61,12,57.85,57,Sports,Bank_Transfer,Sur
C0316,35,70167,69,10,118.29,78,Beauty,Credit_Card,Norte
C0317,21,53039,100,25,94.29,31,Sports,Bank_Transfer,Centro
C0318,18,25000,95,22,50.37,15,Books,Cash,Norte
C0319,33,49926,60,15,116.73,59,Books,Credit_Card,Oriente
C0320,48,61439,57,16,132.68,49,Electronics,Bank_Transfer,Occidente
C0321,31,25000,97,22,68.23,68,Sports,Cash,Occidente
C0322,60,85029,39,12,178.57,76,Food,Debit_Card,Oriente
C0323,33,25000,95,25,21.71,26,Beauty,Bank_Transfer,Centro
C0324,47,55714,48,10,121.04,71,Food,Cash,Occidente
C0325,24,25000,86,20,63.49,53,Home_Garden,Debit_Card,Oriente
C0326,18,50807,100,25,64.81,19,Beauty,Debit_Card,Oriente
C0327,47,80137,66,17,207.03,54,Home_Garden,PayPal,Occidente
C0328,25,26332,94,22,90.47,53,Sports,Cash,Occidente
C0329,39,47640,71,21,29.29,24,Beauty,Bank_Transfer,Centro
C0330,23,25000,100,25,71.36,1,Home_Garden,Debit_Card,Occidente
C0331,18,25000,87,21,22.01,27,Home_Garden,PayPal,Occidente
C0332,62,86406,45,8,184.43,85,Food,Cash,Sur
C0333,34,42975,63,14,29.9,73,Books,PayPal,Norte
C0334,28,56504,88,25,125.6,2,Luxury,Cash,Occidente
C0335,36,48972,100,23,60.81,22,Beauty,Credit_Card,Occidente
C0336,56,80885,42,14,149.9,80,Sports,PayPal,Centro
C0337,33,37580,71,15,53.79,58,Beauty,Debit_Card,Norte
C0338,43,72734,80,17,162.13,59,Beauty,Credit_Card,Oriente
C0339,37,31726,62,11,48.1,66,Beauty,Debit_Card,Oriente
C0340,24,25000,100,24,18.52,25,Food,Bank_Transfer,Oriente
C0341,24,25000,92,25,53.64,13,Books,PayPal,Oriente
C0342,36,49444,76,18,135.48,47,Clothing,Bank_Transfer,Norte
C0343,34,68716,98,24,164.69,27,Books,Credit_Card,Occidente
C0344,34,55645,73,18,124.16,52,Clothing,PayPal,Norte
C0345,22,25000,100,25,21.21,42,Clothing,Debit_Card,Oriente
C0346,41,65464,79,22,111.16,36,Books,PayPal,Norte
C0347,20,28131,68,18,42.59,61,Home_Garden,PayPal,Oriente
C0348,48,52496,43,8,54.6,81,Electronics,Cash,Centro
C0349,31,43053,55,16,128.71,43,Books,PayPal,Oriente
C0350,51,83797,50,11,144.18,66,Luxury,Credit_Card,Centro
C0351,36,28264,41,7,82.36,100,Books,Debit_Card,Occidente
C0352,38,49644,88,21,61.92,29,Books,Cash,Sur
C0353,38,84415,71,16,176.14,38,Beauty,Bank_Transfer,Centro
C0354,39,48839,94,23,91.93,7,Luxury,PayPal,Oriente
C0355,48,71668,71,22,66.35,51,Beauty,PayPal,Centro
C0356,19,40413,93,24,81.28,43,Luxury,Debit_Card,Oriente
C0357,32,67099,100,23,132.82,41,Sports,Debit_Card,Oriente
C0358,39,67559,67,15,117.82,65,Sports,Debit_Card,Oriente
C0359,36,44040,89,17,26.4,47,Luxury,Cash,Oriente
C0360,42,48235,89,21,129.41,21,Electronics,Bank_Transfer,Sur
C0361,19,56327,98,22,120.11,43,Sports,PayPal,Centro
C0362,21,35488,96,23,50.25,31,Electronics,Bank_Transfer,Oriente
C0363,38,77278,60,14,142.46,69,Electronics,Debit_Card,Centro
C0364,19,25000,100,25,87.31,40,Food,Cash,Centro
C0365,37,43759,69,23,48.7,16,Electronics,Debit_Card,Sur
C0366,39,37347,83,19,5.07,47,Beauty,PayPal,Centro
C0367,44,45652,48,10,116.26,83,Food,Bank_Transfer,Centro
C0368,32,77836,58,11,149.77,90,Sports,Debit_Card,Norte
C0369,18,25000,100,25,41.61,58,Sports,Debit_Card,Norte
C0370,18,25000,100,24,15.13,13,Luxury,PayPal,Norte
C0371,35,30937,69,24,39.08,65,Luxury,Credit_Card,Norte
C0372,34,37649,58,15,53.47,91,Luxury,Bank_Transfer,Occidente
C0373,25,25000,92,22,13.64,23,Books,Bank_Transfer,Norte
C0374,29,33595,61,18,79.51,60,Sports,Credit_Card,Oriente
C0375,58,65377,39,11,182.52,100,Clothing,Bank_Transfer,Centro
C0376,28,25000,63,13,48.44,42,Food,PayPal,Oriente
C0377,25,58004,88,21,132.9,35,Luxury,PayPal,Oriente
C0378,49,59644,39,10,98.35,91,Electronics,Debit_Card,Oriente
C0379,53,73846,41,12,120.11,44,Sports,PayPal,Centro
C0380,27,58500,90,24,81.98,27,Electronics,PayPal,Occidente
C0381,50,76235,48,10,187.23,79,Electronics,Bank_Transfer,Oriente
C0382,36,52319,80,21,148.95,37,Clothing,Bank_Transfer,Oriente
C0383,27,36537,70,14,69.9,64,Clothing,Cash,Centro
C0384,20,33779,100,25,79.72,10,Electronics,Bank_Transfer,Sur
C0385,36,72632,66,16,147.39,39,Sports,Debit_Card,Norte
C0386,18,25000,100,20,39.73,45,Beauty,PayPal,Oriente
C0387,51,54818,80,16,117.78,44,Food,Credit_Card,Sur
C0388,43,54869,88,25,64.89,4,Luxury,Debit_Card,Norte
C0389,65,78813,1,1,207.63,143,Books,Bank_Transfer,Oriente
C0390,37,40787,85,19,169.47,38,Clothing,Credit_Card,Oriente
C0391,18,42492,92,25,53.47,10,Food,PayPal,Sur
C0392,31,45024,92,23,82.95,10,Electronics,Debit_Card,Occidente
C0393,40,51777,79,25,108.16,12,Electronics,Cash,Sur
C0394,31,65503,80,22,128.61,25,Beauty,Cash,Centro
C0395,19,40126,70,23,65.25,23,Books,PayPal,Sur
C0396,39,48952,67,17,143.33,43,Books,Bank_Transfer,Norte
C0397,21,27283,100,25,45.51,15,Books,Debit_Card,Norte
C0398,30,50778,84,20,158.73,66,Clothing,PayPal,Occidente
C0399,48,71079,66,16,113.73,62,Clothing,Bank_Transfer,Centro
C0400,39,53806,82,15,70.92,109,Home_Garden,PayPal,Oriente
C0401,65,93466,10,2,173.79,127,Home_Garden,Cash,Sur
