ID Visita,País,Dispositivo,Tiempo en la Página (segundos),Páginas Vistas,¿Realizó Compra?
274,México,Móvil,383,4,No
275,México,Móvil,526,5,No
276,España,Tablet,120,3,No
277,Estados Unidos,Móvil,245,3,No
278,España,Móvil,312,3,Sí
279,Chile,Móvil,667,7,No
280,España,PC,594,6,Sí
281,Estados Unidos,Móvil,117,1,No
282,Colombia,PC,249,4,Sí
283,Colombia,Móvil,196,3,No
284,España,Móvil,78,3,No
285,Argentina,Móvil,375,5,No
286,Colombia,PC,28,3,Sí
287,España,PC,81,3,No
288,Colombia,Móvil,44,2,No
289,Colombia,Móvil,862,8,Sí
290,España,PC,26,3,No
291,Estados Unidos,Móvil,213,2,No
292,Uruguay,Tablet,1095,11,No
293,España,Tablet,15,3,Sí
294,Colombia,Móvil,81,2,No
295,México,Móvil,461,6,Sí
296,Colombia,PC,15,3,No
297,Colombia,PC,15,1,No
298,Chile,PC,15,3,No
299,Colombia,Móvil,735,7,No
300,México,Móvil,101,1,No
301,México,PC,94,2,No
302,Colombia,Móvil,615,8,No
303,Argentina,Móvil,34,2,Sí
304,Estados Unidos,Móvil,15,2,No
305,México,Móvil,379,5,No
306,Colombia,Móvil,528,5,No
307,España,Móvil,1270,12,No
308,España,Tablet,48,2,Sí
309,España,Móvil,819,9,No
310,Colombia,Móvil,697,7,No
311,Estados Unidos,Móvil,225,3,No
312,Colombia,Móvil,316,3,No
313,Uruguay,Móvil,127,4,Sí
314,Colombia,Móvil,596,7,No
315,México,PC,15,3,No
316,Colombia,Móvil,89,2,No
317,México,PC,502,5,Sí
318,España,Móvil,394,4,No
319,México,Móvil,334,4,No
320,México,PC,54,3,No
321,México,Móvil,200,3,No
322,México,PC,465,6,No
323,Estados Unidos,Tablet,15,1,No
324,Ecuador,Móvil,797,8,No
325,Alemania,PC,316,5,No
326,Perú,PC,52,3,No
327,Estados Unidos,PC,87,2,No
328,Colombia,PC,100,2,No
329,Argentina,PC,24,2,No
330,España,PC,82,3,No
331,Colombia,Tablet,188,3,No
332,Chile,PC,244,4,No
333,Colombia,Móvil,276,4,Sí
334,Perú,PC,552,5,No
335,México,Móvil,219,4,No
336,México,Móvil,161,4,No
337,Argentina,PC,248,5,No
338,México,Móvil,335,4,No
339,Perú,Móvil,58,1,No
340,Brasil,Móvil,241,5,No
341,Ecuador,PC,611,7,Sí
342,Colombia,Móvil,567,5,No
343,Francia,Móvil,51,3,Sí
344,Colombia,Móvil,40,3,No
345,Colombia,Móvil,765,9,Sí
346,Colombia,Móvil,413,4,No
347,Chile,Móvil,720,9,No
348,Colombia,Móvil,774,8,Sí
349,Colombia,Móvil,253,4,No
350,México,PC,400,4,Sí
351,México,Móvil,53,2,No
352,México,PC,959,9,No
353,Ecuador,Móvil,777,7,No
354,España,PC,732,7,No
355,Chile,PC,230,3,No
356,España,Móvil,16,1,No
357,Ecuador,PC,492,6,No
358,Estados Unidos,Móvil,544,5,No
359,Brasil,Móvil,456,4,Sí
360,Argentina,PC,779,9,Sí
361,Venezuela,Móvil,15,3,No
362,México,Móvil,81,3,No
363,Colombia,Móvil,198,3,Sí
364,Francia,PC,387,6,No
365,Perú,Móvil,811,7,Sí
366,Colombia,Móvil,65,2,No
367,Francia,Móvil,1619,15,Sí
368,México,Tablet,61,1,No
369,México,PC,143,2,No
370,Chile,Móvil,23,3,Sí
371,Argentina,Móvil,54,1,No
372,Venezuela,Móvil,51,3,No
373,Colombia,Móvil,1223,12,Sí
374,Colombia,PC,105,2,No
375,Colombia,Móvil,15,3,No
376,Colombia,Tablet,154,2,No
377,México,Móvil,770,7,Sí
378,Chile,Móvil,719,7,Sí
379,Chile,Móvil,107,2,No
380,Venezuela,Móvil,156,3,No
381,Colombia,PC,362,5,No
382,Colombia,Móvil,453,5,Sí
383,Reino Unido,PC,110,2,No
384,Argentina,Móvil,408,4,Sí
385,Argentina,Móvil,139,2,Sí
386,España,Móvil,536,6,No
387,Colombia,PC,66,1,No
388,Argentina,Tablet,361,5,No
389,Colombia,PC,94,1,No
390,Venezuela,PC,517,7,Sí
391,Ecuador,Tablet,15,2,Sí
392,Brasil,PC,94,1,No
393,España,PC,28,2,No
394,España,Móvil,74,3,No
395,México,Móvil,89,3,No
396,México,Tablet,1148,10,No
397,México,Móvil,248,5,No
398,México,PC,434,4,No
399,Estados Unidos,Móvil,1076,10,Sí
400,Colombia,Móvil,164,2,No
401,España,Móvil,52,1,No
402,Estados Unidos,Móvil,421,6,No
403,Argentina,Móvil,305,5,Sí
404,Estados Unidos,Móvil,41,2,Sí
405,Colombia,Tablet,57,3,No
406,Colombia,Móvil,171,4,No
407,México,Tablet,251,3,No
408,España,PC,219,2,Sí
409,Colombia,Móvil,408,5,Sí
410,México,Móvil,207,4,No
411,Argentina,Móvil,576,7,No
412,México,PC,404,6,No
413,México,Tablet,271,5,No
414,Ecuador,PC,369,6,Sí
415,México,Móvil,1120,12,No
416,Colombia,Móvil,264,4,No
417,México,Móvil,27,1,No
418,Colombia,Móvil,304,5,Sí
419,Colombia,Tablet,305,4,No
420,Venezuela,Móvil,50,1,No
421,Colombia,PC,1090,10,No
422,España,PC,790,9,Sí
423,España,Móvil,57,3,No
424,Colombia,Móvil,251,5,No
425,Colombia,Móvil,157,2,No
426,Estados Unidos,Móvil,336,4,No
427,México,Móvil,48,2,No
428,México,Móvil,115,1,No
429,España,PC,258,3,No
430,Estados Unidos,Tablet,171,4,No
431,Colombia,Móvil,650,6,Sí
432,Chile,PC,222,3,No
433,Estados Unidos,PC,1195,12,No
434,México,PC,573,6,No
435,Brasil,Móvil,483,6,No
436,Ecuador,Móvil,747,9,No
437,México,PC,316,4,No
438,Brasil,Móvil,398,5,No
439,México,Móvil,504,6,No
440,México,PC,194,4,No
441,Argentina,Móvil,518,7,Sí
442,España,PC,113,3,No
443,Argentina,Móvil,291,3,Sí
444,Argentina,PC,91,1,No
445,Argentina,Móvil,628,6,No
446,México,PC,312,4,No
447,Uruguay,Móvil,731,8,No
448,España,Móvil,27,2,No
449,Colombia,Móvil,361,5,No
450,Colombia,Tablet,15,2,No
451,Colombia,Móvil,300,3,No
452,Colombia,PC,22,3,No
453,Uruguay,Móvil,320,3,No
454,Argentina,Tablet,1093,12,No
455,Alemania,Móvil,185,4,No
456,Estados Unidos,Móvil,253,3,No
457,Colombia,Móvil,103,2,No
458,Chile,Móvil,37,3,No
459,México,PC,570,7,Sí
460,Ecuador,Móvil,365,6,Sí
461,México,Móvil,459,4,No
462,España,Móvil,60,3,No
463,México,PC,435,4,No
464,México,Móvil,910,10,No
465,Colombia,Móvil,865,10,No
466,México,PC,138,3,No
467,México,PC,568,6,No
468,Argentina,Móvil,1476,15,Sí
469,México,Móvil,377,5,No
470,España,Móvil,244,3,No
471,Argentina,Móvil,73,2,No
472,Colombia,Móvil,309,4,Sí
473,España,PC,135,4,No
474,España,Móvil,443,6,Sí
475,México,Móvil,139,4,Sí
476,Estados Unidos,Móvil,28,1,No
477,Argentina,Móvil,266,3,No
478,México,Móvil,172,3,No
479,Colombia,PC,471,5,Sí
480,España,Móvil,289,3,No
481,Colombia,PC,293,4,Sí
482,Reino Unido,Tablet,156,2,No
483,Colombia,Móvil,568,7,No
484,Colombia,Tablet,159,2,No
485,España,Móvil,114,1,No
486,Colombia,PC,299,4,No
487,Estados Unidos,Móvil,15,2,Sí
488,España,Tablet,216,3,No
489,Colombia,PC,236,2,No
490,México,Móvil,1800,15,Sí
491,Argentina,PC,515,6,No
492,Perú,Móvil,161,2,No
493,Colombia,Móvil,82,2,Sí
494,España,PC,466,5,Sí
495,Colombia,Móvil,243,4,No
496,México,PC,125,3,No
497,Colombia,Móvil,80,2,No
498,Perú,Tablet,486,5,No
499,Colombia,Móvil,299,5,Sí
500,Argentina,PC,686,7,Sí
501,España,Móvil,357,4,No
502,Argentina,PC,636,6,Sí
503,Argentina,Tablet,172,3,No
504,Ecuador,Móvil,435,5,No
505,México,PC,230,3,No
506,Brasil,Móvil,1546,15,No
507,Argentina,Móvil,306,5,No
508,Argentina,PC,109,1,No
509,Estados Unidos,Móvil,211,4,No
510,España,Móvil,260,4,No
511,España,Móvil,614,6,No
512,España,PC,309,4,No
513,México,Móvil,799,9,No
514,Brasil,Móvil,15,2,No
515,España,Móvil,412,4,No
516,Estados Unidos,PC,65,3,No
517,Ecuador,Móvil,15,1,No
518,España,Móvil,15,3,Sí
519,Colombia,PC,186,2,No
520,Estados Unidos,Móvil,210,2,No
521,Estados Unidos,Móvil,400,6,Sí
522,España,PC,907,8,No
523,Colombia,Móvil,49,3,No
524,Chile,Tablet,263,3,No
525,Colombia,Tablet,258,4,No
526,España,Móvil,79,3,No
527,España,PC,190,3,Sí
528,España,PC,15,1,Sí
529,México,Móvil,131,4,No
530,Colombia,Móvil,613,8,No
531,Reino Unido,PC,174,2,Sí
532,Estados Unidos,Móvil,51,3,No
533,Perú,PC,123,3,No
534,Argentina,PC,566,7,No
535,Brasil,Móvil,15,2,No
536,Chile,Tablet,527,7,No
537,Reino Unido,PC,372,4,No
538,Colombia,PC,393,6,No
539,México,Móvil,935,9,No
540,Colombia,Tablet,236,4,No
541,Argentina,Móvil,87,2,No
542,Uruguay,Móvil,22,2,No
543,Colombia,Móvil,165,4,No
544,Perú,Tablet,92,2,No
545,España,Móvil,633,7,Sí
546,Colombia,PC,284,3,No
547,España,PC,352,5,No
548,Argentina,Móvil,291,5,No
549,Estados Unidos,PC,58,2,No
550,Colombia,Móvil,144,3,No
551,Ecuador,Móvil,137,3,Sí
552,Colombia,PC,145,2,Sí
553,México,Móvil,27,1,No
554,México,Móvil,552,6,No
555,Colombia,Móvil,335,3,No
556,Colombia,PC,1277,12,No
557,España,Móvil,15,1,Sí
558,España,Móvil,474,6,No
559,México,PC,208,4,No
560,Colombia,Móvil,408,4,No
561,Perú,PC,484,6,No
562,España,Móvil,526,6,Sí
563,Perú,Móvil,411,5,Sí
564,Colombia,Móvil,45,1,No
565,España,Móvil,155,3,No
566,México,Móvil,340,5,Sí
567,Colombia,PC,1035,9,No
568,Chile,PC,676,6,No
569,España,PC,337,4,No
570,Ecuador,Tablet,591,7,No
571,Colombia,Tablet,15,1,Sí
572,Colombia,Móvil,549,5,Sí
573,Estados Unidos,PC,536,6,Sí
574,Colombia,Móvil,377,4,No
575,España,PC,135,3,No
576,México,PC,573,6,Sí
577,España,Móvil,121,2,No
578,Colombia,Móvil,320,5,No
579,México,PC,652,8,No
580,México,PC,177,3,No
581,España,Móvil,259,3,No
582,México,PC,637,8,No
583,México,Móvil,135,2,No
584,Colombia,Móvil,169,4,No
585,España,PC,22,1,Sí
586,México,PC,119,2,Sí
587,Colombia,Móvil,129,3,No
588,México,Móvil,491,6,Sí
589,España,Móvil,32,3,No
590,Colombia,Móvil,134,2,Sí
591,Colombia,PC,291,4,No
592,España,Móvil,170,2,No
593,Argentina,Móvil,102,3,No
594,Argentina,Móvil,458,6,Sí
595,Argentina,PC,54,3,No
596,México,PC,345,4,Sí
597,Venezuela,Móvil,92,2,No
598,México,PC,635,7,No
599,México,Tablet,446,4,No
600,Perú,Móvil,717,7,No
601,Colombia,Móvil,1022,9,Sí
602,Colombia,PC,209,2,No
603,Colombia,Móvil,865,10,No
604,Argentina,PC,123,4,No
605,México,PC,612,6,No
606,México,Móvil,200,4,Sí
607,México,Tablet,509,5,No
608,México,PC,383,6,Sí
609,Venezuela,PC,1694,15,Sí
610,España,Móvil,35,2,No
611,Ecuador,Móvil,33,2,No
612,Perú,PC,322,4,No
613,Chile,Móvil,41,2,No
614,Colombia,Móvil,467,6,No
615,España,Tablet,142,3,Sí
616,México,Móvil,634,6,Sí
617,Argentina,Móvil,394,4,No
618,España,Móvil,573,5,No
619,Colombia,Móvil,49,1,No
620,Chile,Tablet,1094,12,Sí
621,España,Móvil,251,4,No
622,Colombia,Móvil,15,1,No
623,Colombia,Móvil,68,3,No
624,Colombia,PC,685,7,Sí
625,Chile,Móvil,172,3,No
626,Venezuela,Móvil,15,1,No
627,Estados Unidos,Móvil,100,2,No
628,Argentina,Tablet,1014,10,Sí
629,Uruguay,PC,433,5,No
630,México,Móvil,255,5,No
631,Argentina,Tablet,637,8,Sí
632,Colombia,Móvil,310,3,No
633,Colombia,PC,16,2,No
634,Perú,Tablet,701,7,No
635,Colombia,PC,42,1,No
636,Colombia,Móvil,520,7,No
637,Argentina,PC,210,2,Sí
638,Estados Unidos,Móvil,771,7,No
639,México,PC,603,7,No
640,Perú,Móvil,182,3,No
641,Chile,PC,449,5,No
642,Colombia,Móvil,616,8,No
643,Colombia,PC,122,4,No
644,España,Móvil,494,6,Sí
645,Colombia,Móvil,249,5,No
646,Ecuador,Móvil,303,3,No
647,Perú,Móvil,1097,11,No
648,Argentina,Tablet,245,3,No
649,Estados Unidos,PC,148,3,Sí
650,Estados Unidos,Móvil,473,6,No
651,Colombia,Móvil,1130,10,No
652,Colombia,Móvil,322,5,No
653,Argentina,PC,796,8,No
654,México,Móvil,257,3,No
655,Colombia,Móvil,25,3,No
656,México,Móvil,62,2,Sí
657,Perú,Móvil,389,6,No
658,Chile,Móvil,407,6,Sí
659,Estados Unidos,PC,833,7,No
660,Venezuela,PC,44,3,No
661,México,PC,75,1,No
662,España,PC,426,5,Sí
663,Colombia,Móvil,315,3,No
664,Argentina,Móvil,789,7,No
665,Chile,PC,953,10,No
666,Perú,PC,446,5,No
667,México,PC,17,3,No
668,Colombia,Móvil,1800,15,No
669,España,Tablet,31,1,No
670,España,Tablet,475,6,Sí
671,Ecuador,Móvil,103,2,No
672,México,PC,390,5,No
673,México,Móvil,82,1,No
674,Colombia,Móvil,104,2,No
675,España,Móvil,950,10,Sí
676,México,Móvil,15,2,Sí
677,Colombia,Tablet,181,2,No
678,Colombia,PC,228,2,No
679,México,Móvil,300,4,No
680,Argentina,Móvil,371,6,No
681,México,Móvil,181,3,No
682,España,Móvil,899,8,No
683,Colombia,Móvil,556,5,No
684,Estados Unidos,Móvil,190,3,No
685,Argentina,PC,64,2,No
686,Colombia,PC,250,3,No
687,Uruguay,Móvil,808,9,No
688,España,Móvil,83,2,Sí
689,Colombia,PC,609,8,No
690,Brasil,Tablet,1138,11,Sí
691,Argentina,Móvil,20,2,No
692,Brasil,Móvil,701,6,No
693,Venezuela,Móvil,65,1,No
694,Ecuador,Móvil,253,5,No
695,Argentina,Móvil,74,3,Sí
696,Estados Unidos,Tablet,861,9,No
697,Ecuador,Tablet,15,1,No
698,México,PC,794,8,No
699,Argentina,Móvil,292,5,No
700,Francia,PC,715,8,Sí
701,Perú,Tablet,562,6,Sí
702,México,Móvil,128,4,No
703,México,PC,226,3,No
704,Colombia,PC,535,7,Sí
705,Colombia,Móvil,133,4,Sí
706,México,Móvil,297,3,No
707,Brasil,Móvil,614,6,No
708,México,Móvil,168,3,No
709,Colombia,Tablet,470,4,No
710,Uruguay,Tablet,568,7,No
711,Argentina,Móvil,137,3,No
712,España,Tablet,133,3,No
713,España,Móvil,241,5,Sí
714,Colombia,PC,18,2,Sí
715,Colombia,PC,227,3,No
716,México,Móvil,15,2,No
717,Argentina,Móvil,389,4,No
718,Ecuador,Móvil,101,1,No
719,México,Móvil,15,3,No
720,España,Móvil,210,2,No
721,Argentina,Móvil,570,5,Sí
722,España,Móvil,44,1,No
723,México,Tablet,608,6,No
724,México,Móvil,326,5,No
725,México,PC,72,2,No
726,Estados Unidos,Móvil,118,2,No
727,Alemania,Móvil,173,2,No
728,Perú,Móvil,68,1,No
729,Argentina,PC,161,4,Sí
730,Colombia,Móvil,105,2,No
731,Chile,Móvil,735,9,No
732,Estados Unidos,PC,575,6,No
733,España,Móvil,199,4,Sí
734,Colombia,Móvil,119,3,No
735,Brasil,Móvil,318,3,No
736,Estados Unidos,Móvil,720,9,No
737,Alemania,PC,149,4,No
738,España,Móvil,31,2,No
739,Perú,PC,177,4,No
740,España,Tablet,225,4,No
741,Francia,PC,191,2,No
742,México,Móvil,172,4,No
743,Reino Unido,Móvil,293,4,No
744,Alemania,PC,434,6,No
745,Colombia,Móvil,1110,11,No
746,Colombia,Móvil,210,4,No
747,Perú,Móvil,566,5,Sí
748,Colombia,Móvil,18,2,No
749,México,PC,72,2,No
750,Argentina,Móvil,694,6,No
751,México,PC,222,2,No
752,Colombia,Móvil,308,3,Sí
753,Colombia,Móvil,659,8,Sí
754,Colombia,Móvil,120,3,No
755,México,Móvil,417,5,No
756,Argentina,PC,83,2,No
757,Colombia,Móvil,237,2,No
758,Colombia,Móvil,200,4,No
759,Colombia,PC,106,1,No
760,Argentina,Móvil,248,5,Sí
761,Colombia,Móvil,209,3,No
762,Colombia,Tablet,75,1,No
763,Colombia,PC,184,4,No
764,España,PC,56,1,No
765,México,PC,152,2,No
766,España,Móvil,35,2,No
767,Estados Unidos,PC,47,1,No
768,Uruguay,Móvil,239,4,No
769,México,Móvil,144,3,No
770,México,Móvil,17,3,No
771,México,Móvil,50,3,No
772,Colombia,PC,307,4,No
773,España,Móvil,358,4,No
774,Colombia,PC,414,4,Sí
775,Colombia,Móvil,806,9,No
776,Perú,Móvil,124,4,No
777,Ecuador,Tablet,24,2,No
778,Colombia,Móvil,613,6,No
779,México,Tablet,27,2,No
780,Perú,Móvil,235,4,No
781,Estados Unidos,Móvil,451,6,No
782,Colombia,Móvil,85,2,No
783,Colombia,PC,828,9,No
784,España,Tablet,356,4,No
785,Ecuador,Móvil,800,7,No
786,Colombia,Tablet,251,4,No
787,España,Móvil,109,3,No
788,Ecuador,Móvil,25,2,No
789,México,Móvil,188,3,No
790,Colombia,Móvil,313,3,No
791,México,Móvil,425,6,No
792,Argentina,Móvil,15,3,No
793,Argentina,Móvil,118,1,No
794,México,Móvil,35,3,No
795,Colombia,PC,379,6,Sí
796,Estados Unidos,Móvil,573,7,Sí
797,Colombia,PC,24,1,No
798,Colombia,Móvil,156,3,No
799,España,Móvil,25,2,No
800,España,PC,105,3,No
801,México,Móvil,484,6,Sí
802,Colombia,Móvil,295,5,No
803,Colombia,Móvil,206,2,Sí
804,Colombia,PC,540,6,No
805,Colombia,Móvil,492,5,Sí
806,Uruguay,Móvil,50,3,Sí
807,México,PC,481,5,No
808,México,PC,61,2,Sí
809,Chile,PC,1086,10,Sí
810,España,Móvil,974,10,No
811,Colombia,Móvil,134,3,Sí
812,México,PC,744,8,Sí
