ID,Edad,Experiencia_Previa,Tipo_Ejercicio_Preferido,Frecuencia_Semanal_Planeada,Objetivo_Principal,Tiempo_Disponible_Sesion,Duración_Adherencia_Meses
124,48,1,Funcional,2,Rehabilitación,60,6
125,70,5,Pesas,2,Pérdida de peso,120,9
126,54,5,Yoga,3,Flexibilidad,120,32
127,53,6,Pilates,2,Flexibilidad,120,14
128,35,4,Pesas,5,Flexibilidad,94,1
129,32,6,Yoga,3,Flexibilidad,103,19
130,60,8,Funcional,7,Mantenimiento,96,7
131,49,6,CrossFit,3,Resistencia,74,36
132,26,2,Boxeo,3,Tonificación,73,29
133,38,8,Boxeo,3,Pérdida de peso,63,27
134,31,1,Pilates,1,Flexibilidad,75,23
135,67,8,CrossFit,4,Flexibilidad,101,21
136,47,4,Cardio,1,Tonificación,91,16
137,34,0,Natación,5,Mantenimiento,63,31
138,18,1,Funcional,4,Tonificación,30,6
139,28,4,Yoga,3,Rendimiento deportivo,120,24
140,46,8,CrossFit,5,Tonificación,91,10
141,33,2,Pilates,4,Rehabilitación,92,18
142,55,4,Yoga,1,Mantenimiento,43,7
143,28,4,CrossFit,4,Rehabilitación,70,16
144,21,1,Cardio,3,Mantenimiento,120,1
145,19,1,Cardio,3,Mantenimiento,120,16
146,33,2,CrossFit,3,Rendimiento deportivo,63,34
147,19,0,Natación,7,Rendimiento deportivo,32,7
148,18,3,Natación,4,Rehabilitación,96,21
149,21,3,CrossFit,3,Ganancia muscular,92,10
150,27,2,Boxeo,3,Flexibilidad,120,19
151,50,10,CrossFit,4,Tonificación,102,21
152,25,5,CrossFit,4,Rendimiento deportivo,65,22
153,46,4,Yoga,1,Mantenimiento,64,12
154,27,1,Cardio,1,Mantenimiento,90,34
155,29,6,Yoga,2,Rendimiento deportivo,42,14
156,19,2,Pilates,5,Resistencia,71,8
157,51,2,Yoga,4,Ganancia muscular,63,8
158,35,7,CrossFit,3,Rehabilitación,75,30
159,30,4,Pesas,4,Pérdida de peso,120,31
160,62,6,CrossFit,3,Resistencia,40,31
161,27,3,Natación,3,Resistencia,60,30
162,48,6,Natación,3,Flexibilidad,120,17
163,41,3,Pesas,3,Mantenimiento,90,23
164,44,7,Pesas,5,Rendimiento deportivo,105,13
165,46,6,Yoga,2,Tonificación,60,17
166,58,5,Yoga,1,Resistencia,92,17
167,62,3,Boxeo,3,Ganancia muscular,62,7
168,53,2,Funcional,2,Rendimiento deportivo,61,29
169,46,1,Cardio,2,Resistencia,69,6
170,66,10,CrossFit,3,Resistencia,92,4
171,48,3,CrossFit,4,Mantenimiento,32,4
172,66,10,CrossFit,3,Mantenimiento,93,14
173,61,2,Pilates,3,Resistencia,95,6
174,45,7,Yoga,3,Ganancia muscular,72,15
175,29,6,Yoga,2,Rehabilitación,120,8
176,21,2,Pesas,3,Ganancia muscular,60,12
177,26,2,Natación,5,Rehabilitación,97,12
178,47,3,Cardio,4,Resistencia,66,24
179,28,0,Natación,3,Pérdida de peso,102,32
180,66,4,Pilates,1,Resistencia,64,5
181,45,3,Yoga,1,Mantenimiento,104,16
182,61,3,Pesas,7,Flexibilidad,99,30
183,20,3,Natación,1,Mantenimiento,120,15
184,68,4,Funcional,3,Flexibilidad,93,17
185,48,1,Boxeo,6,Flexibilidad,35,4
186,33,3,Yoga,2,Rendimiento deportivo,65,36
187,20,0,Pilates,2,Mantenimiento,97,1
188,37,8,Pesas,3,Rehabilitación,37,19
189,58,7,Pilates,3,Rehabilitación,44,13
190,44,4,Pesas,5,Mantenimiento,64,27
191,25,4,Natación,3,Mantenimiento,120,6
192,22,3,Natación,3,Ganancia muscular,74,35
193,53,10,Pilates,6,Tonificación,120,10
194,18,2,CrossFit,3,Rendimiento deportivo,120,24
195,52,8,Cardio,2,Ganancia muscular,70,36
196,31,3,CrossFit,3,Resistencia,66,12
197,64,6,Yoga,4,Ganancia muscular,60,25
198,45,6,Pilates,3,Resistencia,32,5
199,57,2,Funcional,5,Mantenimiento,97,3
200,35,2,Pilates,1,Rehabilitación,73,18
201,35,7,CrossFit,3,Flexibilidad,62,15
202,66,5,Pilates,5,Rendimiento deportivo,71,14
203,46,8,Yoga,6,Rendimiento deportivo,63,28
204,20,1,CrossFit,2,Flexibilidad,72,11
205,54,5,Boxeo,3,Flexibilidad,63,3
206,27,2,Pesas,1,Rendimiento deportivo,37,1
207,24,1,Funcional,3,Flexibilidad,90,34
208,33,6,Yoga,3,Rehabilitación,102,35
209,33,5,Boxeo,2,Mantenimiento,67,28
210,27,6,CrossFit,4,Mantenimiento,97,14
211,42,8,Funcional,6,Resistencia,63,27
212,61,9,CrossFit,2,Tonificación,97,14
213,39,8,Pesas,4,Rehabilitación,39,17
214,20,1,Pilates,4,Ganancia muscular,120,32
215,67,5,Pesas,2,Flexibilidad,68,25
216,53,9,Pilates,4,Rehabilitación,69,35
217,32,3,Cardio,4,Flexibilidad,61,26
218,46,7,Natación,4,Pérdida de peso,67,29
219,39,4,Cardio,4,Tonificación,120,28
220,31,1,Pilates,3,Mantenimiento,120,8
221,28,5,CrossFit,5,Ganancia muscular,73,25
222,41,4,Natación,3,Tonificación,74,19
223,44,3,Boxeo,3,Ganancia muscular,67,12
224,50,6,Pesas,4,Pérdida de peso,64,15
225,26,2,Natación,1,Rendimiento deportivo,62,3
226,70,6,Cardio,1,Pérdida de peso,64,24
227,18,3,Natación,1,Rendimiento deportivo,67,14
228,33,2,Pilates,3,Ganancia muscular,120,3
229,54,3,CrossFit,2,Ganancia muscular,70,11
230,21,2,CrossFit,3,Pérdida de peso,60,4
231,18,0,Pesas,3,Mantenimiento,105,31
232,22,3,Funcional,1,Flexibilidad,62,1
233,37,4,Funcional,4,Flexibilidad,60,32
234,64,8,Pesas,3,Resistencia,105,23
235,51,3,CrossFit,4,Rendimiento deportivo,100,26
236,39,3,Funcional,3,Resistencia,120,7
237,63,4,Yoga,3,Tonificación,66,20
238,40,5,CrossFit,3,Ganancia muscular,36,33
239,52,4,Boxeo,4,Pérdida de peso,120,5
240,62,8,Pilates,5,Rendimiento deportivo,90,21
241,39,6,Natación,1,Rendimiento deportivo,90,15
242,22,0,CrossFit,3,Flexibilidad,62,36
243,56,5,Yoga,2,Mantenimiento,43,13
244,56,4,Pesas,3,Mantenimiento,75,4
245,25,3,Funcional,1,Pérdida de peso,64,20
246,62,8,Yoga,4,Rendimiento deportivo,98,35
247,53,10,CrossFit,2,Tonificación,120,30
248,33,1,Cardio,7,Tonificación,99,6
249,25,6,Natación,4,Mantenimiento,45,9
250,57,5,Pilates,3,Tonificación,120,35
251,44,2,Cardio,7,Rehabilitación,120,28
252,40,8,Funcional,3,Tonificación,104,17
253,49,1,Yoga,7,Pérdida de peso,75,27
254,20,0,Pilates,1,Rendimiento deportivo,96,29
255,37,2,Cardio,2,Rendimiento deportivo,72,27
256,26,1,Yoga,5,Flexibilidad,95,28
257,46,3,Cardio,3,Ganancia muscular,45,9
258,51,8,Yoga,3,Pérdida de peso,35,18
259,53,10,Pilates,4,Rendimiento deportivo,60,14
260,24,0,Yoga,3,Flexibilidad,120,17
261,49,3,Natación,1,Rendimiento deportivo,73,35
262,68,3,Pilates,2,Rendimiento deportivo,104,8
263,43,5,Boxeo,4,Flexibilidad,95,23
264,58,4,Cardio,5,Resistencia,45,29
265,39,2,CrossFit,4,Rendimiento deportivo,60,9
266,25,3,Boxeo,3,Ganancia muscular,73,30
267,38,7,Pilates,3,Flexibilidad,75,35
268,23,0,Pesas,7,Flexibilidad,62,1
269,35,1,CrossFit,2,Rehabilitación,44,30
270,44,2,Funcional,2,Rendimiento deportivo,102,17
271,30,5,CrossFit,3,Resistencia,105,15
272,26,5,Natación,1,Rendimiento deportivo,36,11
273,26,1,Yoga,2,Resistencia,120,28
274,20,1,Yoga,2,Mantenimiento,94,6
275,32,5,Boxeo,6,Pérdida de peso,68,18
276,42,3,CrossFit,3,Pérdida de peso,94,26
277,19,1,CrossFit,2,Pérdida de peso,120,1
278,30,5,CrossFit,2,Flexibilidad,120,17
279,60,6,Funcional,3,Pérdida de peso,72,28
280,52,10,Cardio,2,Rehabilitación,91,1
281,32,3,Boxeo,4,Pérdida de peso,62,18
282,45,4,Yoga,1,Pérdida de peso,103,5
283,28,1,Pesas,1,Tonificación,41,12
284,57,3,Boxeo,3,Rehabilitación,75,29
285,20,2,Natación,3,Tonificación,70,4
286,24,2,Natación,3,Rendimiento deportivo,67,25
287,38,6,Cardio,3,Ganancia muscular,40,21
288,47,8,Cardio,3,Ganancia muscular,120,25
289,52,9,Pilates,5,Mantenimiento,45,35
290,30,5,Pilates,3,Mantenimiento,68,19
291,28,4,Funcional,2,Resistencia,35,33
292,49,8,Funcional,3,Mantenimiento,120,4
293,36,2,Funcional,6,Flexibilidad,30,28
294,66,7,Pesas,6,Tonificación,120,6
295,69,8,CrossFit,7,Flexibilidad,72,5
296,38,3,Pesas,7,Ganancia muscular,62,7
297,55,9,Pilates,2,Flexibilidad,61,28
298,27,6,CrossFit,5,Rendimiento deportivo,104,35
299,54,10,Pilates,3,Flexibilidad,75,28
300,53,8,CrossFit,4,Tonificación,71,10
301,56,8,Cardio,1,Flexibilidad,74,17
302,67,9,Natación,4,Tonificación,99,33
303,36,8,Pesas,4,Ganancia muscular,35,15
304,40,8,Pesas,4,Flexibilidad,105,33
305,29,5,Boxeo,3,Ganancia muscular,40,16
306,40,6,Natación,4,Pérdida de peso,71,20
307,46,7,Pesas,3,Pérdida de peso,120,20
308,24,0,Cardio,2,Tonificación,74,36
309,30,5,Funcional,3,Rehabilitación,93,14
310,36,6,Boxeo,4,Rendimiento deportivo,67,4
311,63,3,Pesas,2,Pérdida de peso,43,32
312,41,5,Pilates,2,Rendimiento deportivo,95,22
313,48,1,Pilates,4,Resistencia,67,12
314,63,10,Boxeo,4,Mantenimiento,120,4
315,36,3,CrossFit,1,Resistencia,92,11
316,27,2,Pesas,3,Tonificación,70,25
317,27,5,Boxeo,6,Rendimiento deportivo,92,30
318,39,4,Natación,4,Ganancia muscular,120,2
319,53,5,Pesas,3,Ganancia muscular,72,15
320,30,6,Cardio,1,Rehabilitación,105,33
321,65,9,Cardio,3,Rendimiento deportivo,38,30
322,60,10,Cardio,7,Pérdida de peso,105,28
323,65,3,Pesas,6,Mantenimiento,60,18
324,23,1,Cardio,3,Rendimiento deportivo,32,10
325,21,3,Pesas,3,Mantenimiento,73,17
326,62,8,Pilates,2,Rehabilitación,32,29
327,29,2,CrossFit,4,Resistencia,104,30
328,37,1,CrossFit,2,Ganancia muscular,31,27
329,53,3,Funcional,7,Resistencia,63,24
330,28,0,Natación,2,Ganancia muscular,120,22
331,70,5,Funcional,3,Rendimiento deportivo,72,13
332,57,5,Cardio,4,Tonificación,96,5
333,39,2,Pesas,2,Resistencia,74,35
334,69,3,Yoga,3,Rendimiento deportivo,72,7
335,59,8,Boxeo,3,Ganancia muscular,96,31
336,69,2,Cardio,3,Tonificación,67,25
337,63,2,Funcional,3,Pérdida de peso,75,20
338,55,8,Cardio,7,Pérdida de peso,120,25
339,33,6,Boxeo,1,Ganancia muscular,120,23
340,50,5,CrossFit,3,Resistencia,120,11
341,57,9,Pesas,1,Flexibilidad,120,32
342,36,5,Boxeo,3,Pérdida de peso,120,13
343,38,1,Boxeo,7,Resistencia,64,6
344,63,8,Natación,2,Pérdida de peso,72,31
345,26,0,Cardio,5,Mantenimiento,66,4
346,64,7,Pilates,6,Resistencia,120,6
347,38,7,Pesas,3,Tonificación,43,28
348,29,2,Yoga,3,Flexibilidad,93,7
349,37,3,Yoga,2,Tonificación,74,10
350,19,2,Natación,5,Flexibilidad,43,5
351,32,0,Pesas,4,Rendimiento deportivo,60,22
352,50,4,CrossFit,6,Mantenimiento,40,4
353,27,3,Funcional,7,Resistencia,120,32
354,30,5,Yoga,5,Mantenimiento,36,5
355,51,4,Cardio,4,Mantenimiento,32,18
356,20,3,Funcional,4,Flexibilidad,100,18
357,34,3,Natación,4,Ganancia muscular,37,9
358,31,1,Pilates,3,Flexibilidad,101,23
359,41,6,CrossFit,3,Resistencia,66,23
360,45,8,Pesas,3,Ganancia muscular,120,3
361,25,2,Pilates,2,Tonificación,61,2
362,32,4,Funcional,5,Pérdida de peso,99,3
363,61,3,CrossFit,7,Mantenimiento,31,35
364,50,5,Pilates,3,Ganancia muscular,38,3
365,20,0,Natación,7,Ganancia muscular,120,22
366,30,4,Pilates,4,Rehabilitación,30,23
367,55,10,Cardio,5,Pérdida de peso,95,22
368,25,0,Boxeo,1,Tonificación,120,35
369,41,5,Yoga,7,Rendimiento deportivo,45,11
370,53,9,Funcional,3,Rehabilitación,71,26
371,30,6,Cardio,1,Rendimiento deportivo,120,3
372,35,5,Yoga,3,Rendimiento deportivo,73,12
373,47,1,Natación,2,Ganancia muscular,32,26
374,33,5,Natación,4,Rehabilitación,95,23
375,34,2,Pesas,7,Mantenimiento,66,28
376,45,1,Natación,3,Rehabilitación,120,21
377,18,1,Funcional,4,Flexibilidad,105,29
378,70,3,Cardio,3,Resistencia,120,9
379,51,3,Cardio,3,Tonificación,91,28
380,28,4,CrossFit,2,Mantenimiento,31,5
381,39,1,Pesas,5,Pérdida de peso,72,7
382,51,9,Natación,2,Rehabilitación,70,1
383,50,6,Yoga,5,Pérdida de peso,105,9
384,33,2,Pesas,1,Tonificación,95,10
385,39,8,Pilates,4,Rehabilitación,68,17
386,38,6,Pilates,4,Ganancia muscular,120,20
387,39,2,Cardio,1,Rehabilitación,75,10
388,40,7,Pesas,2,Mantenimiento,90,27
389,18,2,Cardio,6,Flexibilidad,68,11
390,38,7,Natación,2,Tonificación,104,8
391,51,9,Boxeo,2,Resistencia,75,7
392,52,5,Natación,5,Mantenimiento,95,34
393,25,0,CrossFit,3,Tonificación,62,20
394,26,6,Boxeo,3,Rehabilitación,120,8
395,30,0,Natación,3,Rehabilitación,120,16
396,27,0,Natación,3,Resistencia,70,33
397,58,8,Pesas,3,Flexibilidad,120,5
398,67,9,Pesas,4,Flexibilidad,92,20
399,19,3,Boxeo,2,Tonificación,120,25
400,65,8,Pesas,1,Mantenimiento,91,21
401,25,6,Cardio,4,Rehabilitación,92,6
402,56,7,Yoga,4,Flexibilidad,44,35
403,69,2,Pesas,4,Flexibilidad,120,25
404,29,0,Cardio,1,Ganancia muscular,92,26
405,64,8,Funcional,4,Resistencia,45,34
406,50,7,Yoga,5,Mantenimiento,41,13
407,67,3,Natación,4,Mantenimiento,40,7
408,51,5,Boxeo,5,Flexibilidad,66,34
409,35,6,CrossFit,4,Flexibilidad,120,6
410,63,8,Cardio,3,Tonificación,68,17
411,46,2,Boxeo,2,Rendimiento deportivo,39,5
412,31,3,Yoga,4,Flexibilidad,120,1
413,53,5,Pesas,3,Mantenimiento,69,16
414,46,2,Funcional,4,Flexibilidad,35,18
415,48,2,Pesas,5,Flexibilidad,39,8
416,23,0,Yoga,3,Ganancia muscular,92,9
417,25,2,CrossFit,3,Ganancia muscular,120,2
418,34,4,Yoga,1,Tonificación,67,28
419,27,2,CrossFit,5,Rehabilitación,67,35
420,28,5,Funcional,5,Pérdida de peso,65,14
421,44,5,Pesas,2,Tonificación,98,4
422,55,10,Funcional,2,Resistencia,105,8
423,23,2,CrossFit,3,Pérdida de peso,39,28
424,57,6,Funcional,3,Resistencia,72,3
425,55,4,Pesas,4,Pérdida de peso,61,16
426,46,6,Boxeo,1,Rendimiento deportivo,72,9
427,69,4,Cardio,1,Flexibilidad,71,28
428,21,1,Pesas,2,Pérdida de peso,94,13
429,39,8,Natación,3,Ganancia muscular,73,3
430,67,2,Cardio,1,Flexibilidad,74,12
431,25,3,Pilates,4,Tonificación,74,25
432,30,1,Yoga,3,Rendimiento deportivo,34,23
433,42,4,CrossFit,5,Mantenimiento,40,7
434,38,8,Boxeo,4,Pérdida de peso,96,27
435,38,3,Cardio,3,Rehabilitación,66,27
436,64,8,Yoga,3,Flexibilidad,73,29
437,20,0,CrossFit,7,Rehabilitación,40,22
438,34,2,Funcional,2,Pérdida de peso,65,14
439,24,3,Funcional,1,Flexibilidad,38,19
440,31,6,CrossFit,3,Resistencia,120,36
441,38,6,Boxeo,3,Rehabilitación,63,26
442,30,1,CrossFit,2,Tonificación,105,2
443,62,10,Pilates,2,Tonificación,103,31
444,25,6,Natación,2,Pérdida de peso,33,23
445,41,6,Boxeo,3,Pérdida de peso,63,34
446,50,9,Pilates,3,Mantenimiento,96,17
447,25,2,Pesas,3,Flexibilidad,42,25
448,62,9,CrossFit,4,Rendimiento deportivo,43,12
449,25,1,Pilates,2,Rehabilitación,63,2
450,60,6,Boxeo,3,Flexibilidad,60,21
451,29,6,Cardio,2,Ganancia muscular,62,7
452,37,7,Pilates,2,Rendimiento deportivo,101,22
453,31,4,Pilates,6,Tonificación,91,25
454,48,6,Yoga,3,Flexibilidad,120,15
455,47,5,Yoga,1,Rehabilitación,73,15
456,40,5,Pilates,6,Flexibilidad,65,33
457,36,3,Natación,2,Resistencia,60,25
458,69,3,Boxeo,4,Rendimiento deportivo,120,11
459,24,0,Cardio,6,Ganancia muscular,99,30
460,18,1,Cardio,1,Mantenimiento,43,29
461,39,1,Boxeo,2,Flexibilidad,66,31
462,23,3,Cardio,1,Rehabilitación,96,24
463,60,7,Boxeo,3,Tonificación,36,1
464,39,7,Pesas,7,Rehabilitación,103,26
465,45,3,Cardio,3,Rehabilitación,92,6
466,69,3,Yoga,2,Rehabilitación,120,19
467,23,0,Boxeo,3,Ganancia muscular,95,34
468,24,0,CrossFit,5,Tonificación,120,4
469,31,0,Cardio,3,Flexibilidad,63,28
470,42,7,Boxeo,5,Tonificación,105,20
471,24,2,Cardio,5,Resistencia,97,9
472,26,1,Natación,2,Rendimiento deportivo,105,7
473,26,1,Natación,2,Ganancia muscular,100,35
474,29,4,CrossFit,3,Pérdida de peso,105,22
475,34,4,Natación,4,Rendimiento deportivo,120,17
476,58,7,Pesas,3,Ganancia muscular,120,4
477,33,1,CrossFit,4,Mantenimiento,97,20
478,23,2,Funcional,2,Ganancia muscular,104,17
479,56,5,Pilates,4,Mantenimiento,120,6
480,43,7,Pesas,2,Mantenimiento,60,1
481,19,0,Natación,2,Pérdida de peso,96,16
482,56,4,Yoga,1,Tonificación,98,14
483,51,10,Pesas,6,Rendimiento deportivo,69,7
484,34,0,Yoga,4,Resistencia,44,10
485,21,3,Boxeo,3,Tonificación,104,11
486,37,4,CrossFit,3,Rendimiento deportivo,120,19
487,38,6,Boxeo,3,Rehabilitación,68,33
488,31,2,Boxeo,1,Resistencia,64,12
489,55,3,Boxeo,3,Mantenimiento,95,23
490,18,2,Pilates,3,Rehabilitación,71,18
491,23,0,Natación,2,Rehabilitación,72,4
492,37,3,Funcional,2,Pérdida de peso,65,27
493,21,2,Boxeo,4,Mantenimiento,44,11
494,47,5,Cardio,2,Resistencia,120,21
495,46,7,Pilates,1,Ganancia muscular,100,34
496,38,8,Natación,2,Tonificación,69,15
497,67,10,Pilates,4,Ganancia muscular,97,25
498,37,5,Cardio,1,Mantenimiento,62,20
499,29,6,Pilates,3,Rehabilitación,60,7
500,30,4,Cardio,5,Rehabilitación,91,17
501,45,6,Boxeo,4,Ganancia muscular,39,10
502,21,3,Pilates,3,Rehabilitación,71,2
503,25,5,Funcional,2,Rehabilitación,94,15
504,68,4,Natación,3,Resistencia,101,25
505,51,7,Funcional,4,Pérdida de peso,91,8
506,68,9,Pesas,6,Pérdida de peso,66,34
507,50,6,Funcional,3,Mantenimiento,120,18
508,29,5,Pesas,2,Rendimiento deportivo,71,3
509,42,6,Boxeo,7,Ganancia muscular,120,28
510,22,1,Yoga,3,Flexibilidad,120,31
511,52,9,Yoga,1,Pérdida de peso,37,27
512,41,4,Yoga,7,Rehabilitación,75,30
513,45,8,Pesas,2,Ganancia muscular,73,3
514,36,7,CrossFit,5,Rendimiento deportivo,67,17
515,50,6,Yoga,2,Pérdida de peso,61,19
516,65,5,Cardio,2,Rehabilitación,64,30
517,41,1,Cardio,2,Pérdida de peso,93,24
518,53,10,Boxeo,2,Pérdida de peso,71,21
519,53,4,CrossFit,1,Rehabilitación,100,36
520,39,7,Funcional,3,Rendimiento deportivo,99,31
521,26,3,CrossFit,4,Rendimiento deportivo,73,21
522,19,2,Yoga,4,Pérdida de peso,37,17
523,39,7,Boxeo,3,Flexibilidad,36,7
524,24,1,Boxeo,5,Rehabilitación,96,28
525,40,6,Pesas,4,Rendimiento deportivo,99,9
526,63,5,Boxeo,5,Ganancia muscular,69,22
527,66,6,Funcional,3,Resistencia,74,24
528,49,4,Natación,1,Flexibilidad,92,33
529,64,7,Pilates,3,Tonificación,34,32
530,69,7,Pilates,7,Rehabilitación,101,9
531,44,2,Yoga,4,Flexibilidad,94,13
532,31,3,Pesas,4,Tonificación,61,10
533,66,10,Pesas,2,Flexibilidad,68,26
534,38,7,Cardio,5,Resistencia,60,1
535,63,6,Natación,3,Mantenimiento,94,22
536,50,10,Cardio,1,Rehabilitación,93,28
537,53,7,Funcional,3,Rehabilitación,102,17
538,30,3,Pesas,1,Ganancia muscular,120,22
539,41,5,Pesas,3,Mantenimiento,43,18
540,22,3,Yoga,1,Ganancia muscular,66,4
541,38,1,Funcional,1,Tonificación,31,20
542,26,4,CrossFit,4,Resistencia,63,6
543,34,6,Natación,5,Resistencia,33,24
544,38,5,Pilates,1,Rendimiento deportivo,95,7
545,24,3,Cardio,2,Resistencia,63,12
